id,claim_family,verdict,trigger_vi,trigger_en,detect_regex,discharged_by,who_issues_it,instrument,article,fine_low,fine_high,extra_sanction,what_it_does_not_establish,source_url,verified_at
service-within-scope,medical service,must_match_filing,quảng cáo vượt quá phạm vi hành nghề hoặc phạm vi hoạt động chuyên môn đã được phê duyệt,advertising beyond the approved scope of practice,-,The approved phạm vi hoạt động chuyên môn on the operating licence,The health authority,Nghị định 87/2026/NĐ-CP,Điều 75.4,40000000,60000000,Licence or practising certificate suspended 3 to 6 months under Điều 75.5.c,Whether the practitioner can perform the service; the test is whether the licence lists it,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
registered-attributes,any,must_match_filing,gây nhầm lẫn về khả năng; số lượng; chất lượng; giá; công dụng; kiểu dáng; bao bì; nhãn hiệu; xuất xứ; chủng loại; phương thức phục vụ; thời hạn bảo hành đã đăng ký hoặc đã công bố,misleading on any registered or published attribute including price origin warranty and packaging,-,The registration or publication itself. The copy must not exceed what was registered or công bố,Whoever holds the registration,Nghị định 87/2026/NĐ-CP,Điều 50.5.c,80000000,100000000,Forced removal plus surrender of proceeds under Điều 50.6 and 50.7,Whether the attribute is true in fact; the benchmark named in the article is the registration,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
phrase-health-supplement,food,mandatory_wording,cụm từ Thực phẩm bảo vệ sức khỏe,the phrase Thực phẩm bảo vệ sức khỏe,(?i)thực phẩm bảo vệ sức khỏe,Putting the phrase in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 71.1.a,5000000,10000000,-,Where the phrase must sit in the layout; the article requires presence and not position,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
phrase-food-supplement,food,mandatory_wording,cụm từ Thực phẩm bổ sung,the phrase Thực phẩm bổ sung,(?i)thực phẩm bổ sung,Putting the phrase in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 71.1.b,5000000,10000000,-,Which products are thực phẩm bổ sung; the classification comes from food law,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
phrase-medical-nutrition,food,mandatory_wording,cụm từ Thực phẩm dinh dưỡng y học hoặc Sử dụng cho người bệnh với sự giám sát của nhân viên y tế,the phrase Thực phẩm dinh dưỡng y học or the supervised-use phrase,(?i)(thực phẩm dinh dưỡng y học|giám sát của nhân viên y tế),Putting either phrase in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 71.1.c,5000000,10000000,-,Which of the two phrases to choose; the article accepts either,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
phrase-special-diet,food,mandatory_wording,cụm từ Sản phẩm dinh dưỡng cho kèm đối tượng cụ thể sử dụng,the phrase Sản phẩm dinh dưỡng cho plus the named group,(?i)sản phẩm dinh dưỡng cho,Putting the phrase in with the specific group named,-,Nghị định 87/2026/NĐ-CP,Điều 71.1.d,5000000,10000000,-,How specifically the group must be named; the article says the group using the product,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
advisory-not-a-medicine,food,mandatory_wording,khuyến cáo Thực phẩm này không phải là thuốc và không có tác dụng thay thế thuốc chữa bệnh,the advisory that this food is not a medicine and does not replace one,(?i)không phải là thuốc,Carrying the advisory alongside the product function and any health warning,-,Nghị định 87/2026/NĐ-CP,Điều 71.2.b,10000000,15000000,-,Whether it may be omitted in short formats; Điều 71.2.c addresses that and still requires it,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
food-identity-block,food,mandatory_wording,Tên thực phẩm; tên và địa chỉ của tổ chức cá nhân chịu trách nhiệm về sản phẩm,food name plus the name and address of the party responsible for the product,-,Carrying both in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 71.2.a,10000000,15000000,-,Whether a link to a profile page satisfies the address; the article requires the address,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetic-identity-block,cosmetics,mandatory_wording,tên mỹ phẩm; tính năng công dụng; tên và địa chỉ của tổ chức cá nhân công bố; các cảnh báo theo hiệp định quốc tế,cosmetic name function declarant address and treaty warnings,-,Carrying all four in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 70.3.b,15000000,20000000,Forced correction and removal under Điều 70.5.a and 70.5.b,Which treaty warnings apply; the article refers out to the international agreements,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
device-identity-block,medical device,mandatory_wording,tên thiết bị và mục đích sử dụng; tên địa chỉ chủ sở hữu số lưu hành; cơ sở nhập khẩu; cơ sở thực hiện quảng cáo,device name and purpose plus the registration holder importer or advertiser address,-,Carrying the set that matches the device's registration status,-,Nghị định 87/2026/NĐ-CP,Điều 73.2,10000000,20000000,Forced correction under Điều 73.4.a,Which of the two address rules applies; it turns on whether the device needs a circulation number,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
service-identity-block,medical service,mandatory_wording,tên; địa chỉ; số giấy phép hoạt động; thời gian hoạt động; phạm vi hoạt động chuyên môn,facility name address licence number operating hours and scope of practice,-,Carrying all five in the advertising,-,Nghị định 87/2026/NĐ-CP,Điều 75.1,15000000,20000000,Licence suspended 1 to 3 months under Điều 75.5.a,Whether a social post is too small to carry them; the article states no format exception,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
device-health-warning,medical device,mandatory_wording,cảnh báo liên quan đến sức khỏe người sử dụng; điều kiện bảo quản,user health warning and storage conditions where they exist,-,Carrying the warning the product has,-,Nghị định 87/2026/NĐ-CP,Điều 73.1.b,5000000,10000000,Forced correction under Điều 73.4.a,Whether the device has such a warning; the article says where applicable,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
warning-legible,any,form_prescribed,ghi chú khuyến cáo cảnh báo không được thể hiện đầy đủ rõ ràng dễ tiếp cận,a required note advisory or warning not shown fully clearly and accessibly,-,Showing it fully clearly and accessibly. This is a layout duty and not a copy duty,-,Nghị định 87/2026/NĐ-CP,Điều 53.1.a,10000000,20000000,Forced removal under Điều 53.3.a,What counts as accessible; no pixel size or contrast ratio is given,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
warning-contrast-and-size,any,form_prescribed,chữ viết có màu không tương phản với màu nền hoặc nhỏ hơn cỡ chữ trong sản phẩm quảng cáo,warning text that does not contrast with its background or is smaller than the advertisement's own type,-,Contrast against the background and type no smaller than the rest of the advertisement,-,Nghị định 87/2026/NĐ-CP,Điều 53.1.b,10000000,20000000,Forced removal under Điều 53.3.a,A numeric contrast ratio; the article says tương phản and sets no figure. Measure with data/colour-gates.csv and record what you measured,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
warning-spoken-at-same-pace,any,form_prescribed,không được đọc đầy đủ rõ ràng với tốc độ và âm thanh tương đương các nội dung khác,a spoken warning not read at the same speed and volume as the rest,-,Reading it at the same pace and volume as the rest of the spot,-,Nghị định 87/2026/NĐ-CP,Điều 53.1.c,10000000,20000000,Forced removal under Điều 53.3.a,Whether a caption substitutes for the read; the article addresses the reading,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
advisory-in-short-tv-food,food,form_prescribed,thực phẩm bảo vệ sức khỏe trên báo nói báo hình dưới 15 giây mà không thể hiện khuyến cáo,a health-supplement broadcast spot under 15 seconds without the advisory,-,Carrying the advisory even in the short cut,-,Nghị định 87/2026/NĐ-CP,Điều 71.2.c,10000000,15000000,See Điều 71.5,Whether a 6-second social pre-roll counts as báo nói báo hình; the article names broadcast,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetic-text-in-short-tv,cosmetics,form_prescribed,quảng cáo mỹ phẩm trên báo hình dưới 30 giây mà không thể hiện bằng chữ,a cosmetic television spot under 30 seconds that does not show the information as text,-,Showing the required information as on-screen text rather than only reading it,-,Nghị định 87/2026/NĐ-CP,Điều 70.2.b,10000000,15000000,-,Whether the same applies online; the article names báo hình,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
truthful-clear-accurate,any,form_prescribed,nội dung không trung thực; không chính xác; không rõ ràng,advertising content that is untruthful inaccurate or unclear,-,Nothing external. This is the catch-all and it is judged on the content,-,Nghị định 87/2026/NĐ-CP,Điều 53.2.a,20000000,40000000,Surrender of the proceeds of sales made from the advertising under Điều 53.3.b,What unclear means; the article gives no test and this is the article most often applied,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
no-misleading-on-function,any,form_prescribed,gây hiểu nhầm về tính năng chất lượng công dụng tác dụng,copy that creates a misleading impression of function quality or effect,-,Nothing external. Same band and same disgorgement as the catch-all,-,Nghị định 87/2026/NĐ-CP,Điều 53.2.b,20000000,40000000,Surrender of the proceeds of sales made from the advertising under Điều 53.3.b,Whether intent matters; the article addresses the impression created,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
