id,stage,duty_vi,duty_en,timing_rule,applies_when,decides_from,instrument,article,sanction_article,fine_low,fine_high,consumer_remedy,what_it_does_not_cover,gazette,source_url,verified_at
a-commercial-message-is-marked-as-advertising,send,"Quảng cáo trên mạng phải có dấu hiệu nhận diện rõ ràng bằng chữ số, chữ viết, ký hiệu, hình ảnh, âm thanh để phân biệt nội dung quảng cáo với nội dung không phải quảng cáo","Advertising on a network must carry a clear identifying mark, in digits, text, symbol, image or sound, separating the advertising content from content that is not advertising",-,is_commercial is yes,is_commercial; has_ad_label,Nghị định 87/2026/NĐ-CP,Điều 56.2.a,Nghị định 87/2026/NĐ-CP Điều 56.2.a,30000000,40000000,-,"What the mark has to say. The article requires that it distinguish, and names no wording","Công báo số 243, 22-04-2026",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
sponsored-influencer-content-is-disclosed,send,"Nghiêm cấm việc không thông báo trước, không công khai việc tài trợ cho người có ảnh hưởng dưới mọi hình thức để sử dụng hình ảnh, lời khuyên, khuyến nghị của người này nhằm xúc tiến thương mại","Failing to disclose, in advance and publicly, that an influencer was sponsored in any form to lend their image, advice or recommendation to a promotion is prohibited outright",before the post goes live,uses_influencer is yes,uses_influencer; discloses_sponsorship,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 10.1.h,-,0,0,A prohibited act under Điều 10; the advertising decree fines the same failure separately,"The wording of the disclosure, and any follower threshold. Neither exists in this article","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
an-information-gap-opens-a-thirty-day-exit,purchase,"Nếu cung cấp không chính xác hoặc không đầy đủ thông tin theo khoản 1 Điều 37 thì trong thời hạn 30 ngày kể từ ngày giao kết, người tiêu dùng được đơn phương chấm dứt hợp đồng và không phải trả bất kỳ chi phí nào, trừ phần đã sử dụng","Where the pre-contract information required of a distance sale was inaccurate or incomplete, the consumer may walk away within 30 days of the contract at no cost beyond the part already used",30 days from contract,channel is a distance channel,claims_verified,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 38.3.b,-,0,0,"Unilateral termination inside 30 days at no cost, and Điều 34 damages where the termination caused loss","Whether the claim was true. The trigger is inaccurate or incomplete information, and an unsupported one is both","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
a-refund-lands-inside-thirty-days,purchase,"Phải hoàn trả khoản tiền tương ứng phần chưa sử dụng trong thời hạn 30 ngày kể từ ngày người tiêu dùng tuyên bố chấm dứt, theo phương thức người tiêu dùng đã thanh toán; quá hạn thì phải trả lãi","The unused portion has to be refunded within 30 days of the consumer's declaration, by the same method they paid, and interest runs on anything late",30 days from the declaration,channel is a distance channel,refund_window_days,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 38.4,-,0,0,"Interest on the late amount at the agreed or statutory rate, plus damages under civil law","Cash on delivery timing. The article measures from the declaration, not from the courier","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
an-over-claim-becomes-a-refund-duty,purchase,"Nghiêm cấm việc không đền bù, trả lại tiền hoặc đổi lại sản phẩm khi sản phẩm không đúng với đăng ký, thông báo, công bố, niêm yết, quảng cáo, giới thiệu, cam kết","Refusing to compensate, refund or replace where the product does not match what was registered, notified, declared, listed, advertised, introduced or committed is prohibited outright",-,claims_verified is no,claims_verified,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 10.1.e,-,0,0,"A prohibited act under Điều 10, and a refund duty on every unit sold under the claim rather than a one-off fine","The advertising fine, which runs in parallel. This row is the money the marketing copy costs back through the till","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
negative-reviews-may-not-be-suppressed,review,"Nghiêm cấm sử dụng biện pháp ngăn hiển thị hoặc hiển thị không trung thực kết quả phản hồi, đánh giá của người tiêu dùng, trừ trường hợp phản hồi đó vi phạm pháp luật, trái đạo đức xã hội","Blocking the display of consumer feedback and ratings, or displaying them dishonestly, is prohibited, and the only exception is feedback that itself breaks the law or offends social morality",-,filters_reviews is yes,filters_reviews,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 10.3.c,-,0,0,"A prohibited act under Điều 10, on top of the platform duty in Điều 39.3.d to show feedback fully and accurately","Sorting and paging. The prohibition is on preventing display and on dishonest display, not on ordering","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
a-testimonial-in-an-ad-needs-the-persons-consent,review,"Quảng cáo có sử dụng hình ảnh, lời nói, chữ viết của cá nhân khi chưa được cá nhân đó đồng ý bị xử phạt","Using a person's image, voice or writing in an advertisement without that person's consent is a finable offence",before the review is reused,reuses_reviews_in_ads is yes,reuses_reviews_in_ads; review_consent_on_file,Nghị định 87/2026/NĐ-CP,Điều 50.3.a,Nghị định 87/2026/NĐ-CP Điều 50.3.a,20000000,40000000,-,"The platform's terms. Agreeing to a marketplace policy is not the reviewer agreeing to appear in your advertisement, and data/claim-evidence.csv carries the same row for copy","Công báo số 243, 22-04-2026",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
continuous-service-starts-at-three-months,renewal,Cung cấp dịch vụ liên tục là việc cung cấp dịch vụ có thời hạn từ 03 tháng trở lên hoặc không xác định thời hạn,"A continuous service is one supplied for three months or more, or for an indefinite term","3 months or more, or indefinite",always,service_months; renewal_date; end_date,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 3.6,-,0,0,"Crossing this definition switches on every Điều 42 duty, which is where the remedies sit","Whether the thing is a subscription in marketing terms. The threshold is the term, not the billing cycle","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
a-continuous-service-contract-is-written-and-handed-over,renewal,Hợp đồng cung cấp dịch vụ liên tục phải được lập thành văn bản và cung cấp cho người tiêu dùng 01 bản,"A continuous-service contract has to be in writing, and the consumer gets one copy",at signup,service_months is 3 or more,contract_in_writing,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 42.1,-,0,0,"Điều 38.3 remedies where required information was missing, and Điều 25 voids terms the law forbids",Whether a click-through counts as văn bản; the electronic transactions law answers that and is not in this corpus,"Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
renewal-notice-at-least-seven-working-days-out,renewal,Phải thông báo cho người tiêu dùng về việc nộp phí để tiếp tục sử dụng dịch vụ theo cách thức đã thỏa thuận tối thiểu 07 ngày làm việc trước ngày hết hạn sử dụng dịch vụ,The notice to pay to keep the service has to reach the consumer in the agreed manner at least seven working days before the service expires,7 working days before expiry,service_months is 3 or more,renewal_date; renewal_notice_date,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 42.2.đ,-,0,0,"A renewal charged without the notice is a charge the consumer can dispute, and Điều 42.3 lets them leave and pay only for use","Public holidays. Ngày làm việc excludes them as well as weekends, and Tết is lunar, so the calendar date has to move earlier by however many fall in the window","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
contract-end-notice-at-least-seven-working-days-out,exit,Phải thông báo cho người tiêu dùng về thời điểm kết thúc hợp đồng theo cách thức đã thỏa thuận tối thiểu 07 ngày làm việc trước ngày hợp đồng kết thúc,"The consumer has to be told when the contract ends, in the agreed manner, at least seven working days before it does",7 working days before the end date,service_months is 3 or more,end_date; end_notice_date,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 42.2.e,-,0,0,"The same dispute route as the renewal notice, and the same Điều 42.3 exit","Whether silence renews the contract. This article is about telling them, not about the term","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
cancel-at-any-time-and-pay-only-for-use,exit,"Trừ trường hợp các bên có thỏa thuận khác, người tiêu dùng có quyền đơn phương chấm dứt hợp đồng cung cấp dịch vụ liên tục tại bất kỳ thời điểm nào và chỉ phải thanh toán phần dịch vụ đã sử dụng","Unless the parties agreed otherwise, the consumer may end a continuous-service contract at any moment and pays only for the part they used",any time,service_months is 3 or more,lockin_months,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 42.3,-,0,0,"Unilateral termination at any time, with the balance repayable under Điều 38.4 timing",A term that survives Điều 25. A lock-in is a thỏa thuận khác only if it is not one of the clauses that article forbids,"Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
no-message-after-the-declared-retention-period,winback,Phải hủy bỏ thông tin của người tiêu dùng khi hết thời hạn lưu trữ đã nêu tại quy tắc bảo vệ thông tin,The consumer's information has to be destroyed once the retention period stated in the published rule runs out,at the declared retention period,always,retention_months_declared; max_delay_months,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 20.3,-,0,0,"Holding the record past the declared period is collection outside the law under Điều 10.1.m, and the consumer can demand deletion under Điều 20.1","A period the law picks for you. It binds you to the one you published, which is why a win-back at month eighteen against a twelve-month policy is the ordinary way this breaks","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
the-consumer-can-demand-deletion-mid-flow,winback,"Người tiêu dùng có quyền yêu cầu kiểm tra, chỉnh sửa, cập nhật, hủy bỏ, chuyển giao hoặc ngừng chuyển giao thông tin; tổ chức kinh doanh phải thực hiện hoặc cung cấp công cụ để người tiêu dùng tự thực hiện","The consumer may require their information to be checked, corrected, updated, deleted, transferred or held back from transfer, and the business either does it or hands them the tools to do it themselves",on request,always,has_self_service_deletion,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,"Điều 20.1, Điều 20.2",-,0,0,"The request itself is the remedy, and ignoring it is collection outside the law under Điều 10.1.m","A response deadline. This article names none, which is not the same as there being time","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
a-breach-notice-goes-out-inside-twenty-four-hours,service,"Trường hợp hệ thống thông tin bị tấn công làm phát sinh nguy cơ mất an toàn thông tin của người tiêu dùng, phải thông báo cho cơ quan quản lý nhà nước có thẩm quyền trong thời hạn 24 giờ kể từ thời điểm phát hiện","Where the information system is attacked and consumer information is put at risk, the competent state authority has to be told within 24 hours of detection",24 hours from detection,always,has_breach_runbook,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 19.3,-,0,0,Điều 19.2 obliges you to receive and resolve the consumer's own complaint about it,"Telling the consumer. This article names the authority, and the cybersecurity law carries the rest; it is not in this corpus","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
