style_id,name_vi,name_en,family,origin,silhouette,length_datum,fringe,face_frame,texture_finish,colour_note,face_fit,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,prompt_phrasing,lock_class,evidence_grade,source
us-abg-straight,Tóc thẳng ABG,ABG straight with money pieces,western-commercial,"Asian-American ABG styling, 2010s onward","Pin-straight one length or long layers, centre part",Armpit to waist,None,Two bleached or caramel money-piece strands at the part,"Flat-ironed glass, sharp light band",Black or dark brown base with contrasting money pieces; full bleach variant exists,Centre part demands symmetry; the money pieces slim the face,The colour contrast at the part line - two bright strands framing the face against a dark base,vn-long-straight,"ABG is flat-ironed with bleached face frames; the Vietnamese classic is natural shine, one colour, no frames",Night and neon light love the glass band; pairs with us-abg makeup,"Streetwear, nightlife, nail-lash studios, boba brands","Heritage, bridal, corporate","waist-length pin-straight dark hair, centre part, two caramel money-piece strands framing the face, glass-like shine",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-slick-bun,Búi slick,Slick middle-part bun,western-commercial,"Model-off-duty and clean-girl grammar, 2020s",Skin-tight gelled hair into a low or mid knot,"Bun at nape or mid-head, no volume anywhere",None; edges laid flat,None - total exposure,"Wet-look gel, mirror crown",Any; the shine is the colour,"The most demanding style in the table: full symmetry, full bone exposure",Zero loose hair - the head reads as a single lacquered shape,vn-low-chignon,Slick bun is gelled tight and sharp; the chignon is soft with crown volume,Beauty close-ups and jewellery: nothing competes with the face,"Skincare, jewellery, high fashion, clean-girl briefs",Soft romantic casting; it reads severe,"slicked-back middle-part hair in a tight low bun, wet-look gel finish, no loose strands, laid edges",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-90s-blowout,Blowout 90s,90s blowout,western-commercial,90s supermodel styling revived through salon social,"Big round-brush volume, layers curving away from the face",Shoulder to mid-back with layers from chin,Long curtain blending into the sweep,Layers flipped outward and back,"Bouncy, glossy, salon-fresh",Dimensional warm brunette is the canonical read,"Adds width - flatters long faces, overwhelms petite ones","Volume moves away from the face in every direction, ends flipped out",us-butterfly,Blowout is one continuous outward sweep; butterfly stacks a distinct short layer over the long one,Motion and hair-flip shots; the volume needs backlight to glow,"Glamour, haircare, aspirational lifestyle",Minimalist or street briefs,"voluminous 90s blowout, round-brush layers curving away from the face, bouncy glossy finish, ends flipped outward",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-butterfly,Tóc butterfly,Butterfly cut,western-commercial,"TikTok salon trend, early 2020s",Two visible layer tiers: short crown layers over long lengths,"Short tier at chin-to-shoulder, long tier at mid-back",Curtain fringe standard,The short tier curls outward around the face,"Curled out with a large barrel, airy",Balayage separates the tiers visually,Round faces gain length from the vertical tier gap,The gap between the two tiers - it reads as short hair layered over long,us-90s-blowout,Butterfly shows a distinct second short layer; the blowout is one continuous sweep,Three-quarter shows both tiers; straight-on it can read as a blowout,"Fashion-casual, haircare, feminine lifestyle",Sleek or graphic briefs,"butterfly cut: short face-framing layers curled outward at chin level over long mid-back lengths, curtain bangs, airy volume",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-french-bob,Bob Pháp,French bob,western-commercial,"Parisian styling shorthand, perennial",Jaw-length blunt bob with a short fringe,"Ends at the jaw, fringe above the brow",Short blunt or micro fringe,The blunt jaw line and short fringe box the face,"Matte, lived-in, slightly undone",Solid dark shades keep it graphic,Strong cheekbones; the box crops everything else,Short fringe plus jaw-length ends - a frame on all four sides,kr-c-curl-bob,"French bob is blunt, matte and boxy with a short fringe; C-curl is glossy and turns inward, fringe long",Beret-adjacent editorial reads instantly; needs confident styling to avoid costume,"Editorial fashion, boutique brands, gallery-adjacent identity",Mainstream commercial casting; it reads deliberate,"jaw-length blunt French bob, short blunt fringe above the brows, matte lived-in texture",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-high-pony,Đuôi ngựa cao,Snatched high ponytail,western-commercial,Pop-stage styling made generic through the 2010s,"Maximum-height ponytail, crown pulled tight","Pony from the crown apex, tail waist-length",None,None; brow line lifts visibly,"Sleek crown, straight or softly waved tail",Extensions expected - note the blend point,Lifts the whole face; hard on high hairlines,The tension lift at the temples - the pony works as a facelift,cn-douyin-pony,Snatched pony allows zero loose strands; the Douyin version engineers wisps and money pieces,Profile shows the height; motion shots swing the tail,"Pop, fitness-glam, nightlife, stage",Natural or heritage briefs,"snatched high ponytail from the crown, sleek tight sides, long straight tail, no loose strands",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-beach-waves,Sóng biển lơi,Beach waves,western-commercial,Californian surf styling made salon-standard,Loose irregular S-waves through the mid-lengths,Collarbone or longer; waves start at eye level,None or long curtain,First wave breaks at the cheekbone,"Matte-soft, texture spray, deliberately imperfect",Sun-lightened ends sell the story,Universal soft default,"Irregularity - no two waves match, ends left straight",us-90s-blowout,Waves are matte and irregular with straight ends; the blowout is glossy uniform volume,Golden-hour exteriors; studio light exposes the product,"Travel, casual lifestyle, summer campaigns","Formal, graphic, or wet-look briefs","loose irregular beach waves from eye level, straight ends, matte soft texture, sun-kissed finish",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
ed-wet-slick-back,Vuốt ướt editorial,Wet slick-back,editorial,Runway and beauty editorial standard,"All hair combed straight back off the face, wet",Any length; the front two inches are the style,None; hairline fully exposed,None,Wet-look gel with visible comb lines,Reads darker when wet - plan the grade for it,Bone structure only; nothing is hidden,Visible comb tracks running parallel from the hairline,us-slick-bun,Slick-back leaves the length loose behind; the slick bun knots it,Beauty close-up and jewellery; profile shows the track lines,"High fashion, fragrance, swim, sculptural beauty",Commercial warmth; it reads cold by design,"hair combed straight back off the face, wet-look gel, visible comb lines, hairline exposed",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
ed-glass-sleek,Tóc kính,Glass hair,editorial,Beauty editorial term for mirror-finish straight hair,"One length, dead straight, centre part, mirror shine","Usually collarbone to mid-back, ends blunt",None,The light band moving across the sheet of hair,Flat-ironed and oiled to a single reflective plane,Dark solid colour maximises the mirror band,Symmetry-demanding like every centre part,One unbroken horizontal light band across the hair sheet,us-abg-straight,Glass hair has no money pieces and blunt ends - the sheet is the entire idea,Studio light with one strong source; the band is the shot,"Haircare hero shots, luxury beauty, minimalist fashion",Motion briefs; one gust ends the illusion,"one-length dead-straight glass hair, centre part, blunt ends, single mirror light band across the sheet",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
us-pixie,Tóc pixie,Textured pixie,western-commercial,Perennial short cut anchored by 60s and 2010s revivals,"Cropped close at sides and nape, textured length on top","Top 5-8cm, sides near-crop",Textured micro fringe or swept front,None below the ear - face fully carried by bone and brow,Piecey matte or soft-brushed,Platinum and strong colour read as statements,Fine features and long necks; strong statement on anyone,The exposed nape and ear line - length lives only on top,us-french-bob,Pixie crops the sides above the ear; the French bob keeps a jaw-length curtain,Profile is the signature angle; earrings become primary styling,"Confidence-led fashion, beauty statements, character-forward casting",Romantic-soft default briefs,"textured pixie cut, cropped sides and nape, piecey 6cm top, micro fringe, matte finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-two-block,Tóc two-block Hàn,Korean two-block,k-men,Korea,Full soft top disconnected from short clean sides; sides clipped but not skin-faded,Top 8-12cm falling over the parting line; sides 3-6mm under the overhang,Forward or lightly parted fringe covering half the forehead,Overhang hides the junction between top and sides,Straight or softly permed; matte to natural sheen,Natural black-brown; ash tones common,Rounds a long face; softens angular jaws,Hidden undercut: lifting the top reveals abruptly short sides with no blended fade,vn-undercut,Two-block hides the length jump under soft top hair with no skin fade; undercut exposes the jump as the look with hard clipper contrast,"Youthful, soft, idol-adjacent; reads neat from the front, undone from three-quarter","Youth brands, K-beauty adjacent, cafe and fashion casting for masculine-presentation models",Corporate authority casting; the softness reads junior,"Korean two-block haircut: full soft straight top falling over the forehead, sides clipped short and hidden under the overhang, no skin fade, natural black, matte finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
kr-comma,Tóc comma Hàn,Korean comma hair,k-men,Korea,Two-block base with the fringe blow-dried into one C-shaped flick over the forehead,"Fringe eyebrow-length, curved; top 8-10cm","Single comma-shaped curl breaking to one side, forehead partly visible",The comma opens one side of the forehead and shadows the other,Soft down-perm or iron set; natural sheen,Black to warm brown,The asymmetric opening slims a wide forehead,"One deliberate C-curl at the fringe centre-side, like a comma laid on the brow",kr-mid-part-perm,Comma is one asymmetric C-flick with most fringe still forward; mid-part perm splits symmetrically and exposes the whole forehead centre,Groomed-but-effortless; the flick catches rim light cleanly,"Beauty, fashion, coffee and lifestyle casting; the default K-drama lead grammar",Sport or rugged casting; the set collapses in action shots,"Korean comma hair: two-block base, fringe iron-curled into a single C-shaped comma flick over one brow, partial forehead visible, soft natural sheen, black",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
kr-mid-part-perm,Tóc middle-part uốn Hàn,Korean middle-part perm,k-men,Korea,"Centre-parted curtains with C- or S-curl perm, ears half covered",Fringe cheekbone-length parted to both sides; nape short,"Split curtains framing both temples, full forehead centre exposed",Two soft arcs from parting to cheekbones,"Loose body perm, airy volume; low sheen","Black, dark brown, ash",Volume at the temples balances a narrow face,Symmetric permed curtains with visible airy root lift at the centre parting,us-eboy-curtain,"Korean version is permed with root volume and rounded C-curl ends; e-boy curtains hang straight, flat and limp",Soft-romantic; motion shots keep shape because the curl is set,"Fashion lookbooks, beauty campaigns, youth lifestyle for masculine-presentation models",Conservative or technical-authority casting,"Korean middle-part perm for men: centre parting, cheekbone-length permed curtain fringe with C-curl ends, airy root volume, ears half covered, dark brown",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
jp-mash,Tóc mash Nhật,Japanese mash cut,j-men,Japan,"Rounded mushroom mass from crown to brows and over the ears, one connected curve","Fringe brow-length, sides ear-covering, nape tapered under the curve",Full heavy fringe cut in a soft round line with the sides,Continuous round rim shadowing brows and ears,Straight or micro-permed for airiness; matte,Black; milk-tea beige in fashion casting,The round rim softens sharp features; risky on round faces,"One unbroken helmet curve - fringe, sides and crown read as a single rounded mass",kr-two-block,Mash connects fringe and sides into one round rim covering the ears; two-block breaks at the temple where short sides start,"Youth-editorial, anime-adjacent; strong silhouette in backlight","Harajuku-leaning fashion, youth streetwear, illustration-flavoured brands",Mature or premium-formal casting,"Japanese mash cut: rounded mushroom silhouette, heavy brow-length fringe connecting into ear-covering sides in one continuous curve, matte black, airy micro-perm",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
vn-undercut,Tóc undercut Việt,Vietnamese barbershop undercut,barber,Vietnam,"Long styled top with hard clipper contrast to skin-faded sides, junction exposed",Top 6-10cm swept up or back; sides fade to skin by the ear,"None; top swept up, back, or side-parted",Ears and temples fully exposed,Pomade or clay set; sheen medium to high,Natural black,Vertical top adds length to round faces,Visible hard line or fast fade where long top meets skin-short sides,kr-two-block,"Undercut shows the contrast as the look - skin fade, exposed junction, swept top; two-block hides its short sides under a soft fringe-forward top","Sharp, groomed, mainstream-masculine; the default VN barbershop look","F&B staff casting, mainstream commercial, grooming brands, delivery-app hero people",Soft-romantic or idol-adjacent casting,"clean undercut: top 8cm swept back with medium-shine pomade, sides skin-faded, sharp junction visible, natural black",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-textured-crop,Tóc crop texture,Textured crop,barber,Western,"Short choppy top pushed forward onto a blunt or curved fringe line, faded sides",Top 3-6cm forward; fringe straight across mid-forehead; sides faded,Short blunt fringe line ending mid-forehead,Forehead half covered by the fringe line,"Choppy separated pieces, matte paste",Any natural shade,The horizontal fringe shortens a long forehead,Forward-pushed choppy texture ending in a deliberate straight fringe line,us-buzz,Crop keeps 3-6cm of visible forward texture and a fringe line; buzz is one uniform clipper length with no direction at all,"Urban, low-maintenance, athletic-casual","Streetwear, sports-casual, barbershop content",Formal-premium casting,"textured crop: choppy matte top pushed forward, blunt fringe line at mid-forehead, low skin fade sides",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-buzz,Tóc buzz cắt đều,Buzz cut,barber,Western,"Uniform clipper length over the whole head, skull shape fully visible",3-10mm all over,None,Hairline and skull geometry fully exposed,Velvet stubble texture; matte,Any; bleached buzz is a fashion statement of its own,Demands strong bone structure - nothing is hidden,No length variation anywhere; the head reads as pure geometry,us-textured-crop,Buzz has zero directional styling and one length; crop keeps forward-directed length and a fringe line,"Stark, confident, editorial or military depending on wardrobe","High-fashion editorial, sportswear, minimalist brands; works across genders",Softening a strong jaw or wide skull is wanted,"uniform 6mm buzz cut, skull shape visible, velvet stubble texture, natural hairline",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-modern-mullet,Tóc mullet hiện đại,Modern mullet,statement,Western,"Short textured front and sides, deliberate disconnected length at the nape",Front 4-6cm; nape collar-length or longer,Short choppy fringe or none,Ears exposed; the length hangs behind them,"Piecey, often permed at the back; matte",Natural or bleached tips,Adds edge to conventionally soft features,"Business-short at the temples, party-length at the nape, no blending between them",jp-wolf,Mullet is a hard front-back disconnect with short sides; wolf cut is one continuous shaggy layer system all over with no disconnect,Deliberately rebellious; instantly reads fashion-forward or ironic,"Streetwear, music-adjacent, Gen-Z brands wanting friction",Mainstream commercial trust casting - it polarises,"modern mullet: short textured top and temples, disconnected collar-length nape with soft perm, matte finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-eboy-curtain,Tóc curtain e-boy,E-boy curtains,statement,Western,"Straight centre-parted curtains hanging flat to the cheekbones, minimal layering",Fringe cheekbone-length both sides; back neck-length,"Flat straight curtains, centre parting, forehead centre exposed",Two straight panels shadowing the temples,"Flat-ironed straight, limp on purpose; low sheen","Black, or grown-out two-tone",Hides temple width; risky on round faces,Curtains hang dead straight with no root volume - the flatness is the point,kr-mid-part-perm,"E-boy curtains are flat, straight and unpermed; the Korean mid-part carries C-curl ends and airy root lift","Internet-native, TikTok-coded, slightly undone","Youth digital brands, gaming, music merch",Premium grooming or corporate casting,"e-boy curtain hair: flat straight centre-parted cheekbone-length curtains, no volume, natural black, low sheen",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-pompadour-fade,Tóc pompadour fade,Pompadour fade,barber,Western,"Volume swept up and back off the forehead into a rounded crest, faded sides",Front 8-12cm rising 4-6cm above the forehead; sides faded,None; all front length is in the crest,Forehead and temples fully exposed,"Blow-dried volume, medium-high sheen pomade",Natural shades,Vertical crest lengthens round and square faces,"The rounded upward crest at the front hairline, tallest at the forehead",us-side-part-taper,Pompadour lifts front hair up and back into a raised crest; a side part lies flat with a visible parted line,"Retro-groomed, barbershop-classic, confident","Grooming brands, barbershops, retro-Americana F&B",Soft casual casting; the structure reads formal,"pompadour fade: front hair blow-dried up and back into a rounded 5cm crest, medium-shine pomade, mid fade sides",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-man-bun,Tóc búi nam,Man bun,statement,Western,All length pulled to one knot at the crown or occiput; sides slicked or undercut,Length sufficient to knot: 20cm+; bun at crown or mid-back of head,None; hairline fully exposed,Face completely open; loose strands optional,Slicked or casually pulled; sheen varies,Natural,Exposes bone structure entirely; needs a strong hairline,Single knot at or above the occiput on a masculine-presentation model,ed-wet-slick-back,Man bun ends in a visible knot; wet slick-back leaves the length loose and flat against the skull,"Craft-artisan, barista-coded, or samurai-editorial depending on wardrobe","Specialty coffee, craft food, tattoo-adjacent, artisan brands",Corporate or mainstream-conservative casting,"man bun: hair pulled into a single knot at the crown, clean exposed hairline, few loose strands, natural black",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-side-part-taper,Tóc rẽ ngôi lệch cổ điển,Classic side part taper,barber,Western,"Flat combed top with one sharp parted line, tapered sides, no disconnection",Top 5-8cm combed diagonally; taper to 1cm at the ear,None; front combed into the parting flow,Forehead exposed along the parted diagonal,"Comb lines visible, light-medium sheen",Natural,The diagonal parting balances asymmetric features,One crisp visible parting line with comb tracks following it,us-pompadour-fade,Side part lies flat along a visible line; pompadour rises into a vertical crest with no parting,"Banker-classic, trustworthy, timeless","Finance, law, real estate, premium-formal F&B, watch and suit brands",Youth or streetwear casting,"classic side part: crisp parted line, top combed flat diagonally with visible comb tracks, tapered sides, light sheen",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-shag,Tóc shag layer,Shag,layered,Western,"Heavy feathered layers from crown to ends, curtain fringe, deliberate undone mess",Shortest crown layer 10-15cm; ends collarbone to mid-back,Grown-out curtain fringe blending into the layers,Feathered pieces at cheekbone and jaw,"Tousled, air-dried, matte-soft","Lived-in colour, shadow roots common",Crown volume lengthens round faces,Visible layer steps all the way up - the crown is a distinct short tier,jp-wolf,Shag layers step gradually with a soft 70s curtain fringe; wolf cut exaggerates the crown-to-length jump into a near-disconnect with a choppier fringe,"Rock-casual, effortless, texture-rich in backlight","Music-adjacent, denim, vintage, casual dining with attitude",Sleek-premium casting; the mess is structural,"70s shag: feathered layers from a short crown tier to collarbone ends, grown-out curtain fringe, tousled matte texture",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-bixie,Tóc bixie,Bixie,short,Western,"Between bob and pixie: cropped layered back, longer softness at crown and face",Nape 3-5cm; crown and fringe pieces 8-12cm,Soft choppy fringe or long side pieces,Wispy pieces at the temples and ears,"Piecey, lightly textured; matte-soft",Any; dimensional colour shows the layers,Softer than a pixie on square jaws,"Reads pixie from behind, bob from the front",us-pixie,Bixie keeps 8-12cm of soft bob-like length at the crown and face; a pixie is cropped close everywhere with sculpted edges,"Modern, low-fuss, fashion-aware","Contemporary beauty, eyewear, skincare - the face stays open",Romantic-long-hair briefs,"bixie cut: cropped layered nape, longer piecey crown and face-framing pieces, soft matte texture",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
