term_id,term,meaning_vi,meaning_en,register,origin,platform_fit,freshness,brand_risk,use_when,avoid_when,example_line,evidence_grade,source
xiu-up-down,xỉu up xỉu down,Choáng váng vì thích hoặc sốc,Fainting with delight or shock,exclamation,TikTok 2021-2022,"Caption, comment",aging,caution,Phản ứng với sản phẩm/deal gây choáng thật,"Đang cũ - kiểm tra comment audience trước khi dùng; không dùng cho tin xấu","Nhìn bảng giá mới mà xỉu up xỉu down, rẻ hơn năm ngoái",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chan-dong,chấn động,"Nhấn kịch tính, thường nửa đùa","Dramatic ""shocking"", often ironic",exclamation,Giật tít báo chí được GenZ mỉa lại,"Caption, hook",fresh,safe,"Hook nửa đùa cho tin nhỏ (Chấn động: quán có món mới) - người đọc hiểu là chơi chữ","Tin nghiêm túc thật - lúc đó thành giật tít rẻ; nội dung sau hook phải đáng xem",Chấn động Gò Vấp: bánh mì chảo 25k có thêm phô mai,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
bat-on,bất ổn,Kỳ quặc một cách buồn cười,Unhinged in a funny way,exclamation,"GenZ mượn từ nghiêm túc dùng lệch nghĩa, 2022+","Caption, comment",fresh,safe,"Tự giễu content/nhân viên/tình huống lầy của chính brand","Mô tả khách hàng hoặc đối thủ - thành chê người ta",Đội ngũ làm content của quán hôm nay hơi bất ổn,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
can-loi,cạn lời,Không còn gì để nói (bó tay hoặc quá đỉnh),Speechless,exclamation,Khẩu ngữ phổ thông hoá từ lâu,"Caption, comment",dated-stable,safe,Phản ứng với điều vượt kỳ vọng theo cả hai chiều,Đứng một mình không rõ chiều khen hay chê - phải kèm ngữ cảnh,"Khách tự decor bàn sinh nhật, nhìn mà cạn lời, đẹp hơn cả quán làm",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
dinh-noc,đỉnh nóc kịch trần,"Khen hết cỡ, không còn nấc nào cao hơn",Peak of the peak,praise,"Anh Trai Say Hi 2024 (bay phấp phới)","Caption, video, comment",fresh,safe,"Khen sản phẩm/khách/kết quả khi muốn giọng trẻ rõ rệt; đang rất sống 2025-2026","Brand giọng nghiêm; lặp quá dày trong một feed","Món mới của bếp đợt này đỉnh nóc kịch trần, bay phấp phới",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
het-nuoc-cham,hết nước chấm,"Đỉnh tới mức không còn gì để chê","So good there's nothing left to dip - flawless",praise,"Khẩu ngữ ẩm thực thành lời khen chung, 2020+","Caption, comment",dated-stable,safe,"Khen đồ ăn là hợp nhất (nghĩa gốc); khen chung vẫn ổn","Văn bản trang trọng; đã phổ cập nên không còn điểm giọng trẻ mạnh","Combo này chấm điểm gì nữa, hết nước chấm",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
khong-co-nhung,10 điểm không có nhưng,"Hoàn hảo, không kèm điều kiện","Ten out of ten, no ""but""",praise,Meme chấm điểm 2021+,"Caption, comment, review reply",dated-stable,safe,"Khen review của khách, khen set đồ, khen decor","Tự chấm mình quá thường xuyên - tự khen phải có bằng chứng đi kèm","Khách chụp góc này 10 điểm không có nhưng",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
sang-xin-min,sang xịn mịn,"Nhìn cao cấp, chất lượng, chỉn chu","Premium, quality, polished - the full package",praise,Ghép ba từ khen thành nhịp ba,"Caption, mô tả sản phẩm nhẹ",dated-stable,safe,"Mô tả tính thẩm mỹ của sản phẩm/không gian với khách trẻ; một trong số ít slang dùng được gần mô tả bán hàng","Sản phẩm không thật sự nhìn cao cấp - từ này tạo kỳ vọng thị giác cụ thể",Set quà Tết năm nay sang xịn mịn từ hộp tới thiệp,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
xin-so,xịn sò,Chất lượng cao (giọng vui),Fancy/high-quality (playful),praise,Khẩu ngữ phổ biến từ 2019+,"Caption, mô tả nhẹ",dated-stable,safe,"Khen chất lượng với giọng thân mật, an toàn cho hầu hết brand trẻ","Văn bản pháp lý, bao bì - vẫn là khẩu ngữ",Máy pha mới xịn sò lắm nha cả nhà,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
cuc-pham,cực phẩm,"Hàng đầu, hiếm có","Top-tier, exceptional",praise,Từ Hán-Việt được dùng lại giọng trẻ,"Caption, mô tả sản phẩm",dated-stable,safe,"Khen sản phẩm/người với sắc thái trân trọng pha đùa","Lạm dụng cho mọi món - mất giá trị so sánh",Sầu riêng Ri6 đợt này đúng nghĩa cực phẩm,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
keo,"keo, mãi keo","Đẹp chuẩn không chỉnh; mãi keo = mãi gắn bó","On point; ""mãi keo"" = forever tight",praise,"Cộng đồng mạng 2022+, từ ""keo lì""","Caption, comment",fresh,safe,"Khen outfit, ảnh, đồ vật; chúc mối quan hệ bền (mãi keo)","Người đọc ngoài 30 - nghĩa không tự giải thích được",Outfit hôm nay của khách mãi keo,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
mai-man,mãi mận,Mãi mặn mà - khen duyên dáng lâu bền,Forever charming (pun on mặn mà),praise,Chơi chữ trái cây 2022,"Comment, caption",aging,safe,"Chúc/khen thân mật với khách quen, fan","Đang cũ dần; người ngoài cuộc chơi chữ không hiểu","Chúc shop với khách mình mãi mận, mãi keo",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chay,cháy,"Bùng nổ, xuất sắc, hết mình","On fire, killed it",praise,Khẩu ngữ giới trẻ phổ cập,"Caption, video, comment",fresh,safe,"Khen màn thể hiện, không khí sự kiện, hiệu ứng bán hàng (cháy hàng nghĩa gốc)","Chú ý nghĩa đôi với cháy hàng/cháy nổ thật - ngữ cảnh phải rõ",Đêm nhạc hôm qua cháy quá trời,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
khet,khét lẹt,Giỏi đáng nể (nghĩa khen),Impressively skilled,praise,"Từ mùi khét chuyển nghĩa khen, phổ biến 2022+","Caption, comment",fresh,safe,"Khen tay nghề, kỹ năng (bếp, barista, thợ)","Ngữ cảnh đồ ăn dễ hiểu nhầm nghĩa đen - tránh cạnh hình món nướng",Tay pha chế mới của quán khét lẹt thiệt,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
slay,slay,"Đỉnh, tự tin, làm chủ sân khấu","Owned it, served",borrowed-en,Tiếng Anh drag/pop culture vào VN qua fandom,"Caption, comment",fresh,caution,"Khen outfit/màn trình diễn cho audience quen văn hoá fandom, làm đẹp, thời trang","Audience đại chúng lớn tuổi; text tiếng Việt trang trọng",Chị khách slay nhất buổi chụp hôm nay,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
cung-xiu,cưng xỉu,Dễ thương tới mức muốn xỉu,Adorable to the point of fainting,praise,Khẩu ngữ 2019+,"Caption, comment",dated-stable,safe,"Khen bé, thú cưng, đồ vật nhỏ xinh - hợp brand quà tặng, F&B, mẹ và bé","Khen người lớn lạ - dễ thành thiếu tôn trọng",Set sticker tặng kèm đợt này cưng xỉu,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
mlem,mlem mlem,"Ngon mắt, thèm (tiếng liếm)","Yum, tongue-out delicious",praise,Meme tiếng động 2020,"Caption đồ ăn, comment",aging,caution,"Caption món ăn cho brand F&B giọng trẻ - vẫn hiểu được rộng","Ngoài ngữ cảnh đồ ăn dễ thành cợt nhả về ngoại hình - tuyệt đối tránh",Lớp phô mai kéo sợi này mlem thật sự,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
u-me,u mê không lối thoát,Mê đắm không dứt ra được,Hopelessly obsessed,praise,Cộng đồng fandom 2020+,"Caption, comment",aging,safe,"Mô tả sự nghiện món/sản phẩm của khách quen","Sản phẩm nhạy cảm sức khoẻ (thuốc, TPCN) - chữ nghiện/u mê phản tác dụng",Trà mãng cầu của quán làm khách u mê không lối thoát,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
aura,"aura, điểm aura","Khí chất; mất điểm aura = quê độ ngay khoảnh khắc","Presence/charisma; losing aura points = instant embarrassment",borrowed-en,Meme quốc tế 2024 vào VN nhanh,"Caption, comment, video",fresh,safe,"Content hài về khoảnh khắc ngầu/quê; đang rất sống với dưới-25","Người đọc ngoài 30; đây là loại meme rơi nhanh - kiểm tra trước khi dùng","Bưng khay 6 ly không đổ giọt nào, nhân viên tháng này +1000 aura",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
mid,mid,"Tầm thường, không tệ nhưng chẳng có gì hay","Mediocre, unremarkable",borrowed-en,Tiếng Anh internet 2023+,"Comment, video review",fresh,caution,"Giọng review thẳng (nếu brand là reviewer); tự giễu món thử nghiệm thất bại","Nói về sản phẩm đối thủ - thành công kích; về sản phẩm mình đang bán - tự bắn chân","Bản thử số 1 hơi mid, nên tụi mình làm lại 4 lần nữa",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
cham-zn,chằm Zn,Trầm cảm nói chệch thành hài (Zn = kẽm),"""Depressed"" punned via zinc (Zn)",self-deprecation,Chơi chữ hoá học 2021,"Comment, meme",aging,high,"Gần như chỉ nên hiểu (nghe khách nói) chứ không nên nói - đùa về trầm cảm từ một brand rất dễ phản cảm","Mọi nội dung brand chủ động phát ngôn; đặc biệt là ngành sức khoẻ, giáo dục","(hiểu khi khách viết) deadline tới mà lương chưa về, chằm Zn quá",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chua-he,"trmúa hmề, chúa hề",Tự nhận mình hề - tự giễu,Self-proclaimed clown,self-deprecation,Meme spelling 2021,"Comment, meme caption",aging,caution,"Tự giễu content thất bại của chính brand, giọng đã thân với follower","Chữ ""trmúa hmề"" viết kiểu này đang cũ; bản ""chúa hề"" bền hơn","Team edit quên tắt caption nháp, đúng chúa hề",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
cot-song,cột sống,Chơi chữ cuộc sống (mệt tới cột sống),Pun: life (cuộc sống) as spine (cột sống),self-deprecation,Chơi chữ 2021,"Comment, meme",aging,caution,Than vui về nghề (đứng bếp cả ngày đau cả cột sống lẫn cuộc sống),Đang cũ; đọc giả ngoài cuộc không thấy vui,"Mùa Tết của thợ bánh: cột sống nhiều hơn cuộc sống",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
phen,phèn,"Quê mùa, kém sang","Cheap-looking, unsophisticated",social,"Từ phèn chua, cộng đồng mạng 2020+","Comment, video",dated-stable,high,"Chỉ tự giễu chính mình (hồi đó quán mình decor hơi phèn) - và phải kèm bản nâng cấp","Mô tả khách, đối thủ, hay bất kỳ ai khác - là chê ngoại hình/gu người ta","Nhìn lại menu 2019 của quán, phèn dễ sợ, giờ đỡ nhiều rồi",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
ra-de,ra dẻ,"Làm màu, ra vẻ","Putting on airs, being extra",social,"Giọng miền Tây lên TikTok 2023, đọc chệch ""ra vẻ""","Comment, video nói",fresh,caution,"Tự giễu khi brand cố tỏ ra sang (hôm nay quán ra dẻ fine-dining xíu)","Nói về người khác - thành mỉa; người miền Bắc lớn tuổi có thể không hiểu","Hôm nay tụi mình ra dẻ chút, ly giấy đổi sang ly thủy tinh hết",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
o-de,ô dề,"Lố, quá đà (thường cố tình)","Over the top, deliberately extra",social,"Clip miền Tây 2021 (""làm quá thì nó ô dề"")","Comment, caption",aging,caution,"Tự giễu sự làm lố có chủ đích của content","Chê người khác lố - thành công kích","Trang trí Noel năm nay hơi ô dề, mà ô dề có chủ đích",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
cringe,"cringe, quéo",Ngượng giùm người khác,Secondhand embarrassment,borrowed-en,Tiếng Anh internet,"Comment, video",fresh,caution,"Tự đánh giá content cũ của mình; ngôn ngữ nghe-hiểu khi đọc comment","Mô tả nội dung/người khác từ miệng brand - chính brand dùng slang sai mới là thứ bị gọi là cringe",Coi lại video đầu tiên của kênh mà cringe nhẹ,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
ren,rén,"Chờn, hơi sợ, không dám tới","Intimidated, hesitant",feelings,Khẩu ngữ trẻ 2020+,"Caption, comment",fresh,safe,"Mô tả cảm giác trước thử thách (món cay cấp 5, ai rén giơ tay)","Ngữ cảnh khiến khách rén thật (giá, quy trình) - phải giải toả chứ không đùa","Cay cấp 3 thôi mà nhiều khách rén, cấp 5 chắc để dành cao thủ",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chill,chill,"Thư giãn, nhẹ nhàng",Relaxed,borrowed-en,Tiếng Anh vào VN từ 2018+ (Chillies... ),"Caption, mô tả không gian",dated-stable,safe,"Mô tả không gian, playlist, nhịp sống - phổ cập tới mức gần như tiếng Việt","Không còn điểm giọng trẻ; đừng dựa vào nó để tỏ ra trẻ",Tầng 2 của quán dành cho ai cần một góc chill làm việc,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
healing,"healing, chữa lành",Tự phục hồi tinh thần - nay đã nửa mỉa vì bão hoà,"Self-care/healing - now half-ironic from overuse",borrowed-en,Trend du lịch-lối sống 2023 bão hoà 2024,"Caption, video",aging,caution,"Dùng có ý thức về sự bão hoà (nghỉ lễ này khỏi healing đâu xa, về nhà ăn cơm mẹ nấu)","Dùng nghiêm túc như 2023 (chuyến đi chữa lành) - đã thành cliché bị giễu; slop-tells có họ hàng với từ này","Không healing gì hết, tới đây là để ăn cho đã",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
lowkey,lowkey,"Kín đáo, âm thầm, hơi hơi","Quietly, kind of",borrowed-en,Tiếng Anh internet,"Comment, caption",fresh,caution,"Caption giọng gần gũi (lowkey tự hào về món này) cho audience quen tiếng Anh chêm","Audience không quen code-switching; văn bản chính thức",Lowkey thì đây là món bếp trưởng thích nhất menu,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
drama,drama,"Thị phi, chuyện ồn ào",Public drama/feud,social,Tiếng Anh phổ cập qua showbiz,"Mọi nền tảng",dated-stable,caution,"Nghe-hiểu khi theo dõi cộng đồng; content kể chuyện nội bộ vô hại (drama chọn màu hộp mới)","Brand chủ động nhảy vào drama người khác - rủi ro pháp lý và tẩy chay; đọc creator-UGC trước",Drama lớn nhất tuần của tiệm: team chia hai phe trân châu trắng và đen,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
phot,"phốt, bóc phốt","Bê bối; vạch trần","Scandal; calling out",social,Từ faute (Pháp) qua khẩu ngữ,"Mọi nền tảng",dated-stable,high,"Nghe-hiểu để làm social listening và xử lý khủng hoảng","Đùa về phốt của mình hay của ai khác trong content thường - từ này gắn với khủng hoảng thật",(chỉ để nghe-hiểu khi theo dõi comment và cảnh báo sớm khủng hoảng),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
tra-xanh,trà xanh,Kẻ thứ ba giả ngây thơ,Faux-innocent homewrecker (green tea),social,Từ tiểu thuyết Trung 2020 vào VN,"Mọi nền tảng",dated-stable,never-in-brand,"Không dùng. Chỉ cần biết để tránh: một brand trà thật sự từng phải né hashtag này","Mọi ngữ cảnh brand - kể cả bán trà xanh thật thì kiểm tra nghĩa đang nổi trước khi đặt tên chiến dịch",(brand bán trà: kiểm tra ngữ cảnh mạng trước khi chạy campaign chữ trà xanh),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
tuesday,Tuesday,Người thứ ba (em thứ 3 - thứ ba),The other woman (pun on Tuesday),social,Chơi chữ thứ ba 2020,"Mọi nền tảng",aging,never-in-brand,Không dùng. Nghe-hiểu khi đọc comment,Mọi content brand - kể cả lịch khuyến mãi thứ ba hàng tuần nên rà lại chữ dùng,(lưu ý: ưu đãi thứ Ba hàng tuần nên viết rõ Thứ Ba để né nghĩa meme),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
red-flag,"red flag, green flag",Dấu hiệu cảnh báo / dấu hiệu tốt (người hoặc thứ gì đó),Warning sign / good sign,borrowed-en,Tiếng Anh hẹn hò internet 2021+,"Caption, comment, video",fresh,safe,"Content dạng checklist vui (green flag của một quán cà phê: ổ điện nhiều)","Chỉ mặt người thật mà gắn red flag - thành công kích cá nhân",Green flag của tiệm nail: khử trùng dụng cụ ngay trước mặt khách,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
gato,GATO,Ghen ăn tức ở,Jealous (acronym),social,Viết tắt lâu đời 2010s vẫn hiểu rộng,"Comment, caption",dated-stable,caution,Giọng đùa giữa các chi nhánh/đồng nghiệp (chi nhánh Q1 gato với doanh số Q7),Nói khách/đối thủ gato - thành cà khịa thật,Chi nhánh Thủ Đức được khen nhiều quá làm mấy chi nhánh kia gato nhẹ,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
thinh,"thả thính, thính","Tán tỉnh úp mở; mồi hấp dẫn","Flirt bait; teaser",social,"Từ thính câu cá, phổ cập 2016+ và vẫn sống","Caption, teaser",dated-stable,safe,"Teaser sản phẩm mới (thả thính trước 3 ngày ra mắt) - đã thành từ nghề marketing","Không còn mới, đừng trông vào nó để trẻ; thính phải có món thật phía sau",Thả thính nhẹ: thứ 6 này menu có thành viên mới,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
toang,toang,"Hỏng việc, vỡ kế hoạch",It all fell apart,social,1977 Vlog 2019 phổ cập,"Comment, caption",dated-stable,safe,"Kể chuyện hậu trường thất bại vui (khuôn bánh mới toang ngay mẻ đầu)","Sự cố ảnh hưởng khách thật (đơn hàng, tiền) - lúc đó cần xin lỗi thẳng, không đùa","Thử công thức mới, toang mẻ đầu, mẻ thứ ba mới ra hình này",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
gay-keo,gãy kèo,"Hủy hẹn, thất hứa phút chót",Bailing on plans last minute,social,Khẩu ngữ kèo (trận/cuộc hẹn) 2019+,"Comment, caption",dated-stable,safe,Content về hẹn hò/tụ tập (đặt bàn xong đừng gãy kèo nha),Nói về việc brand tự thất hứa - phải là lời xin lỗi thật chứ không phải meme,"Rủ được crush đi cà phê rồi thì đừng gãy kèo, tiệm giữ bàn cho",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
keo-thom,kèo thơm,"Cơ hội ngon, deal hời",Sweet deal,commerce,Khẩu ngữ cá cược sang nghĩa deal,"Caption khuyến mãi, livestream",dated-stable,safe,"Gọi tên ưu đãi có thật với giọng thân (kèo thơm cuối tuần: mua 2 tặng 1)","Ưu đãi không thơm thật - chữ này tạo kỳ vọng, khách so sánh được",Kèo thơm hôm nay: hoá đơn trên 200k tặng luôn phần tráng miệng,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
hong,hóng,"Theo dõi chờ tin, tò mò chuyện",Eagerly following/waiting for news,social,Khẩu ngữ phổ cập,"Caption, comment",dated-stable,safe,"CTA mềm cho teaser (hóng gì đó đang về tiệm không?)","Hóng drama người khác - kéo brand vào thị phi",Ai hóng màu mới của dòng ly giữ nhiệt thì để lại một chấm,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
bao-thu,"báo, báo thủ","Người chuyên gây họa, phá hoại (thường đùa yêu)",Walking liability (affectionate),social,"Từ báo cha báo mẹ, TikTok 2022+","Comment, caption, video",fresh,caution,"Content thú cưng, em út team, nhân vật hậu đậu của kênh","Gọi khách là báo - dù đùa; chỉ dành cho người/vật thuộc về brand","Em út của bếp lại làm rơi khay bánh, đúng báo thủ của tiệm",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
khia,cà khịa,"Chọc ngoáy, mỉa nhẹ",Needling/teasing,social,Khẩu ngữ miền Nam phổ cập 2019+,"Comment, banter",dated-stable,caution,"Banter giữa các brand đã quen nhau công khai (fan hai bên hưởng ứng); trả lời comment khịa của khách một cách duyên","Khịa đối thủ khi chưa có quan hệ banter - thành công kích; luật quảng cáo cấm so sánh trực tiếp",Bên bún bò khịa bên phở hoài mà khách hai tiệm vẫn ăn chung bàn,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
man-nhat,"mặn, nhạt","Hài có duyên / vô duyên",Funny-salty / bland,social,Ẩn dụ vị giác phổ cập 2018+,"Comment, đánh giá content",dated-stable,safe,"Tự đánh giá content (hôm nay admin mặn hơn mọi ngày); nghe-hiểu khi khách chê nhạt","Chê content người khác nhạt - miệng brand nói ra thành kém duyên",Admin hôm nay mặn là nhờ chưa uống cà phê hay uống rồi?,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
flex,flex,"Khoe (thành tích, đồ, kết quả)",Showing off,borrowed-en,"Hip-hop EN, bùng ở VN 2023 (group Flex đến hơi thở cuối cùng)","Caption, comment, video",fresh,safe,"Khoe có bằng chứng: thành tích khách, review, số liệu thật (flex nhẹ 1000 đơn đầu tiên)","Flex không có gì sau lưng - từ này mời người ta soi; số liệu phải qua check_claims trước khi flex",Cho tiệm flex nhẹ: 500 đánh giá 5 sao trên app trong 6 tháng,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
bao,bào,"Vắt kiệt (bào tiền, bào sức)",Grinding/draining (money or energy),social,Khẩu ngữ trẻ 2021+,"Comment, caption",fresh,caution,"Tự giễu mùa cao điểm (Tết bào sức thiệt); nghe-hiểu khi khách nói game/idol bào tiền","Mô tả sản phẩm mình theo kiểu bào tiền khách - tự tố; ngữ cảnh giá phải minh bạch","Mùa Tết bào sức cả team, nhưng nhìn khay mứt đầy lại vui",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
lum,lụm,"Nhặt về, lấy ngay (deal, bí kíp)",Snatching it up,commerce,Khẩu ngữ miền Nam lên TikTok Shop 2023+,"Caption, livestream, comment",fresh,safe,"CTA giọng trẻ trên kênh thương mại (giá này lụm liền); phổ biến trong caption TikTok Shop","Văn bản trang trọng; khách miền Bắc lớn tuổi ít quen","Voucher 50k thả 8h tối nay, ai nhanh tay thì lụm",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
