id,name_vi,name_en,use_when,structure,example_vi,example_en,fails_when,plain_language_note
offer-stack,"Xếp lời đề nghị","Offer stack","Price is the blocker and the value is real but scattered","List what the buyer receives, each with the cost it removes. Total the removed cost. Then the price","Gồm: [món chính], [món kèm], [thời gian phục vụ]. Thay cho: [số] phút chọn quán mỗi trưa. Giá: [giá].","You get: [main], [side], [service time]. Instead of: [N] minutes deciding every lunchtime. Price: [price].","Items are padded to lengthen the list. A padded stack reads as a padded price","If a line in the stack would not be missed, removing it makes the offer stronger, not weaker"
question-open,"Mở bằng câu hỏi","Open with a question","The reader must recognise themselves before they will read on","Ask something only your actual customer would answer yes to. Never a question anyone would answer yes to","Trưa nay bạn đã mất bao lâu để quyết định ăn gì?","How long did you spend today deciding what to eat?","The question is one everybody says yes to. Then it filters nobody and reads as filler","A question that everyone answers yes to is a statement wearing a question mark"
story-single-scene,"Một cảnh, kể thật","One scene, told straight","Founder story, brand film, About page","One place, one time, one action, one thing that changed. No moral at the end","Bốn giờ sáng, bếp còn tối, nồi lên lửa trước cả khi mở cửa. [Số] năm nay vẫn thế.","Four in the morning, the kitchen still dark, the pot on the flame before the door opens. [N] years the same.","You add a lesson at the end. The scene was the argument; explaining it takes the argument back","Non-marketers write the best version of this, because they were actually there. Write it as you would tell a friend and then cut the first sentence"
cta-single,"Một hành động duy nhất","Single action CTA","Every artefact, always","Name the action, its cost in effort, and what happens immediately after. One action only","Ghé [địa chỉ] trước [giờ]. Không cần gọi trước.","Come to [address] before [time]. No need to call ahead.","There are two actions. Two actions is zero actions, because choosing is work","'Learn more' is not an action, it is a delay. Say what the reader physically does next"
email-one-job,"Email một việc","Email with one job","Any lifecycle or campaign email","Subject states the job. First line delivers it. One action. Nothing else in the email","Chủ đề: Hết nồi lúc [giờ] hôm nay. Nội dung: Hôm nay nồi hết sớm hơn thường lệ. Mai mở lại từ [giờ].","Subject: The pot finished at [time] today. Body: Today it ran out earlier than usual. Tomorrow we open at [time].","The email carries a second announcement. The second one gets read by nobody and dilutes the first","One email, one job. If you have two things to say, you have two emails — or one thing that mattered and one that did not"
ad-hook-first-second,"Hook trong một giây đầu","Hook in the first second","Paid social where the audience did not ask for this","Open on the moment of change, not the setup. No logo, no title card, no greeting","Cảnh mở: lát thịt vừa được vớt khỏi nồi, còn bốc khói.","Open on: the slice of meat lifted out of the pot, still steaming.","You begin at the beginning. The beginning is where the audience leaves","Start where a friend would start if they only had one second to make you look. Everything before that is your comfort, not their interest"
landing-above-fold,"Nửa trên trang đích","Landing page above the fold","A page has one conversion job","What it is, who it is for, the one proof, the one action. Four elements, nothing else above the fold","Quán bún bò cho dân công sở quanh [khu vực]. Nồi nấu từ [giờ] sáng. Ghé trước [giờ].","A bún bò shop for office workers around [area]. The pot starts at four. Come before noon.","A hero image with a slogan and no statement of what it is. The visitor leaves without knowing the category","A stranger should be able to say what you sell and whether it is for them, in three seconds, with the sound off"
pdp-decision,"Trang sản phẩm để quyết định","Product page built to decide","A buyer is comparing and needs the deciding facts, not persuasion","The deciding facts first, in the order buyers actually ask: what it is, size, material, what it does not do, price, delivery","Bốn món. Tô [dung tích]. Nước dùng nấu từ xương, không dùng gói pha. Không có món chay. [Giá]. Ăn tại quán hoặc mang về.","Four dishes. [Volume] bowl. Broth simmered from bone, no sachet. No vegetarian option. [Price]. Eat in or take away.","The page persuades where it should inform. A comparing buyer reads persuasion as a missing fact","Stating what your product does not do increases sales. It removes the buyer's fear that you are hiding the answer"
sms-nine-words,"SMS chín chữ","Nine-word SMS","You have permission to message and one thing to say","One fact and one action, under nine words total, no greeting, sender identifiable","Hôm nay hết nồi lúc [giờ]. Mai mở [giờ]. — [Tên quán]","Pot finished [time] today. Open [time] tomorrow. — [Shop]","You add a greeting or a sign-off. In this format both are noise the reader paid attention for","At this length every word costs the same as a sentence. Write it long, then cut to nine"
script-15s,"Kịch bản 15 giây","Fifteen-second script","Short vertical video for social or ads","Second 0-1 the change. 1-8 the mechanism shown, not stated. 8-12 the proof. 12-15 the action, spoken and on screen","0-1: thịt vớt khỏi nồi. 1-8: tay múc nước dùng, cận mặt nước. 8-12: bảng hiệu và địa chỉ. 12-15: 'Trước [giờ].'","0-1: meat lifted from the pot. 1-8: hands ladling, close on the broth surface. 8-12: the sign and the address. 12-15: 'Before [time].'","Narration explains what the picture already shows. Then both are wasted","Show the mechanism, say the proof. If the voice is describing the image, delete one of them"
pr-news-first,"Thông cáo: tin trước","Press release, news first","There is a genuine, checkable, new fact","The news in the first sentence, dated and attributable. Context second. Quote third. Contact last","[Tên quán] mở điểm thứ hai tại [địa chỉ] từ [ngày].","[Shop] opens a second location at [address] on [date].","There is no news, only an opinion about your own business. No journalist will carry that, and asking damages the next real approach","If you cannot write the first sentence as something that happened on a date, you do not have news yet"
reply-to-complaint,"Trả lời khiếu nại công khai","Public reply to a complaint","A public complaint is visible and other buyers are reading the reply, not the complainer","Acknowledge the specific thing. State what happened, if you know. State what changes. Move to private for the resolution","Hôm đó nước dùng hết sớm và bạn phải đợi. Đúng là lỗi của quán. Từ [ngày] quán ghi rõ giờ dự kiến hết nồi trên bảng.","The broth ran out early that day and you waited. That was our mistake. From [date] the expected finish time is written on the board.","You apologise without stating what changes. Other readers are checking whether anything will be different, not whether you are sorry","The audience for a public reply is never the person complaining. It is the fifty people deciding whether to risk you"
