id,language,device_vi,device_en,shape,detect,pattern,only_when,budget_per_set,severity,why_it_reads_machine,fix
superlative-unnumbered,both,"So sánh nhất không số","Unnumbered superlative","Any X nhất, or hàng đầu / premium / best, with no figure anywhere in the title. Ordinals (thứ nhất) and uniqueness (duy nhất) are excluded - neither is a comparison",regex,"(?i)(?:(?<!thứ )(?<!duy )\bnhất\b|\b(số một|số 1|hàng đầu|hoàn hảo|cao cấp|premium|best|finest|world-?class|leading)\b)",no-digit,0,high,"A superlative is a comparison, and a comparison with no measurement is the shape of a claim without the claim. It is also the exact wording an advertising regulator asks you to substantiate","Either put the measurement in the title or delete the superlative. `Nhanh nhất` with no number is weaker than a stated number with no superlative"
em-dash-reveal-vi,vi,"Gạch ngang hé lộ","Em-dash reveal","Câu — rồi phần hé lộ",regex,—,always,0,high,"Vietnamese punctuates this with a comma, a colon or a full stop. The em dash arrives with the English draft, and in a title there is no sentence long enough to have earned it","Comma, colon or full stop. The pause you wanted is available in all three"
em-dash-reveal-en,en,"Gạch ngang hé lộ (tiếng Anh)","Em-dash reveal, English","Statement — the reveal",regex,"\s—\s",always,1,medium,"The em dash is the default rhythmic tool with nothing pushing back on it, so it repeats. One per set of titles is a choice; two is a habit","Keep the one where the dash carries a genuine reversal. Elsewhere use a comma"
workshop-noun,both,"Danh từ nhà xưởng","Workshop noun","brief / output / pipeline / hệ thống / cơ chế / bố cục as the subject",regex,"(?i)\b(brief|output|pipeline|workflow|template|deliverable|artefact|artifact|payload|schema|framework|module|hệ thống|cơ chế|quy trình|bố cục|kiến trúc)\b",always,1,high,"This is the defect underneath most of the others. The title is written last, by the person who just built the thing, so the freshest noun in their head is the one from the workshop - and the reader has never been in the workshop","Swap the workshop noun for the reader's noun: the thing they hold, sell, lose or wait for. Keep the workshop noun only where the reader's job is literally to buy the system"
nominalised-opener-vi,vi,"Mở bằng danh hoá","Nominalised opener","Việc tối ưu hoá quy trình / Sự thay đổi của thị trường / Quá trình sản xuất nội dung",regex,"(?i)^(việc|sự|quá trình|tính|khả năng)\s",always,0,medium,"An English noun phrase pushed through Vietnamese. It is grammatical and nobody speaks it, which is the exact signature of a translated draft","Start on the verb or the object. Vietnamese drops the subject natively and does not need the abstract noun to hold the front of the sentence"
question-anyone-answers,both,"Câu hỏi ai cũng đáp","Question anyone answers yes to","Bạn có muốn…? / Are you tired of…?",regex,"(?i)^(bạn có (muốn|biết|đang)|bạn đã bao giờ|do you want|have you ever|are you (tired|looking|struggling))\b",always,0,high,"A question everybody answers yes to filters nobody, so it is a statement wearing a question mark. `copy-formulas.csv` already says this under question-open; a title is where it happens most","Ask something only your actual buyer would say yes to, or state the thing instead"
hype-punctuation,both,"Dấu câu cường điệu","Hype punctuation","!! / ?! / a title ending in an exclamation mark",regex,"[!?]{2,}|!\s*$",always,0,medium,"Volume substituting for the news. The exclamation mark asks the reader to supply the excitement the sentence did not","Delete it. If the sentence needs it to land, rewrite the sentence"
year-freshness,both,"Nhồi năm cho mới","Year freshness stuffing","2026 mới nhất / latest 2026",regex,"(?i)\b20\d\d\b[^\n]{0,30}\b(mới nhất|cập nhật|latest|updated)\b|\b(mới nhất|latest|updated)\b[^\n]{0,25}\b20\d\d\b",always,0,medium,"Written for a ranking algorithm rather than a person, and it expires on a fixed date whether or not the content did","Date the fact, not the title. `Giá tháng 8` is a fact; `mới nhất 2026` is a maintenance liability"
tricolon,both,"Liệt kê ba","Tricolon","Three comma-separated items in one title",structural,,always,1,medium,"Three is the length a list defaults to when nobody counted. `slop-tells.csv` carries this for body copy; in a title it costs more because there is no room to make any of the three specific","Pick the one that decides the reader. Two of the three were there for rhythm"
conjunction-two-ideas,both,"Liên từ hai ý","Conjunction joining two ideas","và / and / cùng với inside the title",regex,"(?i)\s(và|cùng với|and|plus)\s",always,0,medium,"`copy-formulas.csv` one-idea-headline states the rule: there is no situation where two ideas in one headline is correct. The conjunction is where the second idea gets in","Cut to the idea that would survive alone. The other one is a subhead or it is nothing"
metaphor-unearned,both,"Ẩn dụ chưa được trả","Unearned metaphor","A figurative noun the page never introduces - dấu vân tay, hành trình, DNA",manual,,always,0,high,"A metaphor is a loan against context the reader has not been given yet. In body copy the next paragraph repays it; a title has no next paragraph, so it stays a debt","Use the literal noun in the title and put the metaphor in the body where it can be paid for. If the metaphor is the only interesting thing, the literal fact was too weak to ship"
