id,job_vi,job_en,use_when,ratio,copy_safe,subject_action,scene,lighting,camera,materials,avoid,fails_when
apparel-flatlay,"Trải phẳng quần áo để xem hết chi tiết","Flatlay so the whole garment reads","A listing needs the full shape, colour and every detail in one frame","4:5","None","One garment laid flat and squared to frame, sleeves placed as if just folded out, one deliberate fold to show the drape","A single-tone fabric or paper ground one stop off the garment's own value","Two large soft sources at 45 degrees from opposite sides so the weave reads and no side goes flat","Directly above at 90 degrees, 50mm behaviour from far enough that the corners do not stretch","Weave or knit is visible, the seam allowance shows, the hem is not ironed into a line the garment does not hold","No garment floating, no invented brand tag, no shadow direction that contradicts the two sources","The garment is arranged into a perfect rectangle; real fabric does not lie that flat"
apparel-on-model,"Quần áo trên người mẫu","The garment on a body","Fit and movement are the decision, and flat fabric cannot show them","2:3","Left 35 percent","A fictional adult wearing the garment, standing in a relaxed asymmetric stance, weight on one leg, hands doing something rather than nothing","A plain wall or a single real location kept shallow","One large soft source from front-left at 45 degrees, one bounce right, and enough separation that the garment edge does not merge with the wall","Slightly below eye level for a full-length, 85mm behaviour so proportions stay honest","Fabric creases where a body bends it; the shoulder seam sits where it actually sits; shoes and skin are real","No face drift from a supplied reference, no impossible waist, no fabric that hangs as if there is no body under it","The garment fits with no wrinkle anywhere; the buyer reads it as not-real and stops trusting the fit"
shoe-hero,"Ảnh giày một chiếc, thấy được sole","One shoe where the construction reads","Footwear sells on the sole, the stitch and the profile","1:1","None","One shoe in three-quarter profile, tilted so the outsole edge and the toe box both read, laces tied loosely and asymmetric","A plain surface with a soft contact shadow, nothing else","Soft source front-left, hard kicker from behind-right to read the stitch and the sole texture, bounce under the toe","Slightly above the shoe, 100mm behaviour so the profile is not distorted","Leather creases at the flex point, the midsole shows foam texture rather than flat white, the eyelets have metal specularity","No mirrored second shoe, no floating, no laces arranged into a bow they would not hold","The upper reads as a smooth solid; leather without pores or grain is the tell"
jewelry-macro,"Trang sức chụp macro","Jewellery at macro so the setting reads","A small object carries a high price and the craft must be visible","1:1","None","One piece filling the frame, angled so the stone's table and one facet edge both catch light, the setting claws visible","A dark tone-on-tone surface with a soft gradient so the metal has something to reflect","A small soft source close and above for the metal, plus one tiny hard source to make one facet flare; black cards to keep the metal from going white","Straight on or five degrees above, 100mm macro behaviour, stacked focus behaviour so front and back claws are both sharp","Metal reflects the room, not a uniform colour; the stone has internal refraction and one inclusion; the surface shows fine tool marks","No uniform glow inside the stone, no star flare the set cannot cast, no invented carat or hallmark text","The stone glows from inside with no light source; a real stone bounces the room back at you"
electronics-hero,"Ảnh thiết bị điện tử","A device where the finish is the pitch","Aluminium, glass and screen finish carry the premium read","16:9","Right half","The device three-quarter on, screen dark or showing a solid tone, ports and edge radius visible along one side","A dark surface with a long soft gradient behind, so the anodised edge has a gradient to reflect","One long soft strip from above-behind to draw the top edge, one narrow strip at camera-left for the side, black cards elsewhere","Slightly above, 100mm behaviour, tight so the body fills the width","Anodised metal is matte with a directional grain; glass has one specular and one diffuse component; the screen reflects the room faintly even when off","No invented UI on the screen, no glow leaking out of a dark screen, no seam that does not exist on the real unit","The screen shows a made-up interface; that becomes a product claim you cannot support"
furniture-in-room,"Nội thất trong phòng thật","Furniture in a room, at real scale","Scale and the room it suits are the whole decision","3:2","Upper-left third","One piece as the clear subject, positioned as it would be used, one supporting object on it that gives scale","A real room with the far wall visible, floor line visible, two thirds of the room legible","Motivated daylight from one named window at frame-left, no fill beyond what the room's own walls bounce","Standing height, camera level so verticals stay vertical, 24-35mm behaviour, no tilt","Wood shows grain and one repair or knot; upholstery shows a seat impression; the floor shows real wear","No impossible perspective, no second light source with no window, no perfectly empty otherwise-lived-in room","Verticals converge; a tilted camera makes furniture look like a render every time"
packaging-concept,"Concept bao bì chưa có mẫu thật","A packaging concept where no real pack exists yet","The pack is being designed and there is nothing to photograph","4:5","Bottom 30 percent for the concept label","The pack form only, in flat brand colour with no text at all, one unit standing and one lying","A neutral studio ground with a soft contact shadow","Soft source front-left, bounce right, so the form reads as a form and not as a photograph of a product","Eye level, 100mm behaviour","The material class must be stated and honoured: carton has a visible fold and fibre edge, pouch has a bottom gusset and crinkle","No text, no logo, no barcode, no seal graphics — every one of them is a claim about a pack that does not exist","It looks like a finished pack; then someone sends it to a printer. Always ship this with a concept label"
unboxing-frame,"Khung ảnh mở hộp","The moment the box opens","First impression and what is included are the pitch","4:5","Top 25 percent","The box open at about 40 degrees with the contents still seated in place, two hands lifting the lid or the insert","A plain table with only what came in the box on it","One soft source from above-front-left and a bounce so the box interior is not a black hole","45 degrees above, 35-50mm behaviour so the box interior reads","Card has fibre and a visible crease at the fold; tissue is creased where a hand touched it; the insert holds the contents at their real angles","No items floating above the box, no contents fanned out in a symmetric arc, no extras that do not ship","The contents are arranged into a display; unboxing sells the seated arrangement, not a laid-out kit"
size-comparison,"Ảnh so sánh kích thước","A frame that settles the size question","Returns or questions keep coming from people who misjudged the size","1:1","Bottom strip for the measurement caption","The product beside one object whose size everyone already knows, both flat to the same plane, touching or nearly","A plain surface with a scale line or ruler edge along one side if the number is confirmed","Flat even soft light from the front so neither object casts a shadow that misreads as depth","Straight down at 90 degrees or dead-on at eye level, 100mm behaviour, no perspective at all","Both objects genuinely on one plane, because any depth difference here becomes a lying comparison","No comparison object of ambiguous size, no perspective trick, no printed dimension unless it is confirmed","One object is nearer the lens than the other; the comparison then overstates or understates and you get more returns"
before-after,"Ảnh trước và sau","A before and after pair","A result is the claim and one frame cannot carry it","1:1","None — the pair is labelled in layout","Two frames of the identical subject from the identical position, changing only the thing the product changed","The identical background, unchanged between the two frames","Identical light in both frames: same source, same position, same power, same white balance","Identical camera position, height, lens, distance and exposure in both frames","Everything not being claimed must be visibly the same, down to the fold of a sleeve","No change of light, angle, crop, makeup, wardrobe, posture or grade between the frames","The after frame is better lit than the before. That is not a result, it is a lighting change, and it is the most common false claim in this category"
founder-portrait,"Chân dung chủ doanh nghiệp, đáng tin","A founder portrait that reads credible","A buyer is deciding whether to trust a small business behind the product","4:5","Left 40 percent","A fictional adult or the authorised real person, three-quarter to camera, shoulders turned slightly off axis, hands occupied by something from their actual work","Their real workplace, kept shallow so one plane of it reads and the copy area stays quiet","One large soft source at 45 degrees and 30 degrees above from camera-left, low bounce at right, so one side of the face keeps shadow","Eye level exactly, 85mm behaviour from two metres","Skin keeps pores, lines and asymmetry; the shirt has real creases; the eyes have one catchlight from the named source","No two catchlights, no smoothed skin, no whitened teeth, no arms crossed, no studio grey backdrop for a workshop business","Both eyes have symmetric ring-light catchlights and the skin is flawless; credibility drops the moment it looks retouched"
staff-at-work,"Nhân viên đang làm việc thật","Staff mid-task, not posing","Service is the product and process is the proof","3:2","Right third","One or two people doing the actual task, eyes on the work rather than the camera, mid-motion with one hand blurred if the motion is fast","The real workspace, in use, with the mess it actually has","The workspace's own light named as key; add only a bounce, never a second source that the room could not have","At the height a colleague would stand, 35mm behaviour, close enough to be inside the task","Uniforms have wear, the surfaces have marks, the tools have been used","No one looking at camera, no tidied bench, no matching new uniforms if the shop's are not new","Everyone is looking at the lens and smiling; that is a staff photo, not proof of work"
customer-using,"Khách hàng đang dùng sản phẩm","A customer using the product where they use it","The buyer needs to see themselves, not a model","4:5","Top third","A fictional adult using the product at the real moment of use, attention on the product or the task, body language unposed","The place that use actually happens, with its real clutter kept behind the subject","The light that place actually has at that hour, from one direction, plus a bounce","At the height a companion would be, 35-50mm behaviour","Clothing, room and product all show that this is the middle of a day, not the start of a shoot","No model-perfect grooming, no direct-to-camera smile while using a product, no empty spotless room","The person is a model in a set. The whole value of this recipe is that they are not"
ugc-selfie,"Ảnh khách tự chụp kiểu UGC","A UGC-style frame the audience reads as a real customer","Paid-looking creative is being scrolled past and social proof is what is missing","9:16","Middle band only — the app takes the top 250px and bottom 420px","A fictional adult holding the product toward the lens at arm's length, off-centre, slightly out of level, mid-sentence rather than smiling","Wherever they actually are: a car, a bathroom, a desk, an untidy room","Whatever light is there, including mixed colour temperature and one blown window, because correcting it removes the whole effect","Phone front-camera behaviour: wide, close, mild barrel distortion, slight motion blur","Slightly soft focus, visible sensor noise, uneven exposure, the product label partly cut by the hand","No studio lighting, no clean composition, no colour grade, no perfect exposure — every one of them breaks the read","It is well composed and well lit. UGC works because it is not, and a polished UGC frame performs worse than an honest ad"
hands-only-demo,"Chỉ có tay, thao tác sản phẩm","Hands only, demonstrating the mechanism","How it works is the pitch and a face would compete with it","1:1","Bottom third","Two hands performing one step of the actual operation, the product held at the angle the step requires, mid-motion","A plain work surface, cropped so no room reads","One soft source from above-front so both hands and the product are legible, one bounce to keep the palms from going dark","Over the shoulder at 60 degrees, 50mm behaviour, tight to the hands","Nails, knuckles, one small scar; the grip is a grip that would actually work for that step","No sixth finger, no duplicated thumb, no floating product, no grip that could not apply the force shown","Anatomy fails. Hands are still where generated images break, so this recipe always needs a real render check"
testimonial-frame,"Khung ảnh cho lời chứng thực","A frame built to carry a quote","A real approved quote exists and needs a picture","1:1","Right 55 percent, and it must stay genuinely empty","The person from the shoulders up in the left 45 percent, looking slightly out of frame rather than at the lens","A dark or single-tone plane behind so type will sit on it at full contrast","One soft source from the subject's front-left, deep falloff into the copy side so the type area is even and dark","Eye level, 85mm behaviour","Skin, hair and fabric keep texture; the copy side is a clean tonal field with no gradient banding","No detail whatsoever in the copy area, no hair strays crossing into it, no invented quote rendered as image text","The scene fills the reserved area. A reserved area the scene fills is not a reserved area"
beauty-closeup,"Cận cảnh beauty, makeup","A beauty close-up where the makeup is the subject","A colour, finish or technique is the product","4:5","Top 25 percent","A fictional adult's face from brow to chin, turned five degrees off axis, eyes open and level, the makeup at its finished state","A seamless tone one stop darker than the skin","One large soft source directly above and slightly front for butterfly lighting, a bounce below the chin, black cards at both sides for shape","Straight on at eye level, 100mm behaviour","Skin keeps pores and fine hair; the product reads as its stated finish, matte or satin or metallic, and the render must pick one; lashes are separate and uneven","No poreless skin, no symmetric face, no whitened sclera, no lash comb pattern, no change to the underlying facial structure","Makeup direction quietly becomes face reconstruction. Lock structure, asymmetry, age and expression, and reject a prettier face"
fashion-editorial,"Ảnh thời trang kiểu editorial","An editorial fashion frame","The brand is being positioned rather than a garment sold","2:3","Upper-left quarter","A fictional adult in one deliberate pose that has a reason, garment shape as the subject, limbs making one clear shape against the ground","One authored location or one seamless colour, chosen and not defaulted","One hard or one large source, committed to; editorial reads as a decision, and two competing softboxes read as a catalogue","Below eye level for authority or above for vulnerability — pick one, 50-85mm behaviour","Fabric behaves like its fibre; skin keeps texture; the location has real dirt or wear if it is a real location","No pose without a reason, no imitation of a named living photographer or campaign, no floating fabric with no wind source","It is a catalogue shot with the contrast raised. Editorial is a decision about the frame, not a grade"
team-group,"Ảnh nhóm, tập thể công ty","A group frame that does not read as a stock photo","Trust in the organisation is what is being sold","3:2","Bottom strip","Three to seven people at varied distances from the lens, not in a line, some in conversation, one or two acknowledging the camera","The real premises, with depth so the group sits inside a space","One broad soft source or the room's own window as key, plus enough fill that no face in the back row is lost","Eye level, 35mm behaviour, far enough that the outer faces are not stretched","Different heights, ages, clothing and postures; the room is theirs and shows it","No straight line, no matched poses, no arms crossed in unison, no faces all turned to the lens with the same smile","Everyone is arranged by height and smiling identically. That single arrangement makes a real team look bought"
storefront,"Mặt tiền cửa hàng","The storefront as a findable place","A local buyer needs to recognise the place from the street","3:2","Top strip","The full frontage with the entrance visible and one person entering or standing, the sign readable but not straightened by software","The actual street, with its actual pavement, wires and neighbours","Late-afternoon daylight from one side so the facade has modelling; the interior lights on so the inside reads warm against it","Standing height across the street, camera level so the building's verticals stay vertical, 24-35mm behaviour","The building shows its age; the pavement is not empty; the neighbouring shopfronts are not erased","No verticals converging, no removed neighbours, no invented sign text, no impossible empty street on a busy road","The street is emptied and the facade is straightened. It stops being findable, which was the only job"
shop-interior,"Nội thất quán, không gian","The room as the reason to come in","Atmosphere is the product","16:9","Left third","The room from one corner with the seating, the counter and the depth all reading, two or three people seated at real distances","The room as it is at its best hour, in use","The room's own fixtures as key, one window as fill; expose for the warm interior and let the window blow slightly, as an eye would","Seated height, camera level, 24mm behaviour from the corner, verticals straight","Surfaces show wear, the tables have things on them, the light has one colour temperature the room actually has","No empty room presented as an atmosphere, no added lights, no HDR flattening that removes every shadow","Nobody is in it. An empty room reads as closed, whatever the caption says"
delivery-motorbike,"Giao hàng bằng xe máy","Motorbike delivery, which is how it actually arrives","Speed and reach are the pitch in a Vietnamese city","4:5","Top third","A rider stopped at the kerb handing a bag over, or the box strapped to the rear rack with the strap visibly tight, mid-transaction","The real street, shophouses and wires behind, kept shallow","Daylight from one side; late afternoon so the helmet and the bag both have modelling","Standing height, slightly above the bag, 35-50mm behaviour","The bag is used, the strap is worn, the bike is a bike someone rides daily","No pristine bike, no empty street, no invented courier branding, no helmet worn unbuckled","Everything is new. A delivery frame is credible because the equipment is worn"
market-stall,"Sạp chợ, hàng rong, ghế nhựa","A market stall or pavement seating","Provenance and everyday-ness are the pitch","4:5","Top 30 percent","The stall with its goods stacked the way the seller stacks them, the seller's hands working, one customer at the edge of frame","The market as it is, with the tarpaulin colour cast and the crowd behind reduced to tone","Filtered daylight through the tarpaulin as key, with its real colour cast kept, plus a bounce off the pavement","Standing height looking slightly down, 35mm behaviour, close enough to be at the stall","Produce has variation and blemishes; the plastic stools are scuffed; the surfaces are wet","No colour-corrected tarpaulin light, no uniformly perfect produce, no emptied market","The produce is graded to supermarket perfection; the whole reason to shoot a market is that it is not"
tet-composition,"Bố cục Tết, quà biếu, lễ","A Tet or gifting composition","Seasonal gifting is the occasion driving the purchase","1:1","Centre-left 40 percent","The product as the clear subject with two or three seasonal objects placed as a household would place them, not arranged in a wreath","A single-tone ground in the season's own palette, no printed backdrop","Soft source from front-left with a warm bounce, so red and gold read rich rather than orange","45 degrees above, 50mm behaviour","Red reads as its real dye rather than pure saturation; gold reflects the room; the seasonal objects are real objects with real weight","No symmetric border of props, no floating blossoms, no invented festive text, no oversaturated red that loses the product colour","The frame becomes a greeting card and the product disappears into the decoration"
colour-field,"Nền màu trơn để đặt chữ lên","A colour field built to carry type","The layout needs a background and the picture is not the message","1:1","70 percent of the frame, stated explicitly","No subject at all, or one small object at one edge as an anchor","A single surface with one soft gradient across it, and one real texture at grazing angle","One large soft source from one side to make the gradient, nothing else","Straight on, 50mm behaviour","The surface must be a real material — paper, plaster, fabric — at a scale where its texture is visible but not busy","No pattern that competes with type, no vignette, no gradient banding, no rendered text","The gradient bands in the darkest quarter and every piece of type sitting on it looks cheap"
ingredient-deconstruct,"Tách nguyên liệu để chứng minh thành phần","The components separated to prove what is in it","The claim is about ingredients or contents","1:1","Right third","Each component in its own small group on one plane, in the proportion actually used, the finished product at one edge","A plain single-tone surface","Flat soft light from directly above so nothing casts a shadow that reads as a hierarchy","Straight down at 90 degrees, 50mm behaviour","Every component present in the real proportion, with real variation; the quantities are a claim","No component the recipe does not contain, no ingredient enlarged for effect, no arranged spiral or grid pattern","A component is shown at a proportion that flatters the formula. That is a claim, not styling, and it needs a source"
