form,person,number,inclusive,tier,pairs_with,composes_with,ambiguous_with,fits_channel,wrong_when,why_it_matters,detect_regex,probe,evidence_grade,source
các bạn,2,plural,-,peer,tôi; mình; chúng tôi; chúng ta; bọn mình; tên thương hiệu,bạn,-,social; chat; pr,the piece is a one-to-one message. An email addressed to các bạn was written to a list and did not hide it,"các is the documented pluraliser for address forms. Switching between bạn and các bạn inside one piece is the only legitimate switch in this table, because it is a change of number and not a change of tier",\bcác bạn\b,Các bạn ghé trước 11h30 nhé.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
anh,2,singular,-,respectful,tôi; chúng tôi; em; tên thương hiệu,chị; anh/chị; em,anh ấy and anh ta are third person; anh em means siblings; anh is also first person when a man addresses his partner,social; web; chat; email; marketplace; sales-deck,"the reader's gender is not known. Then the form is anh/chị, and guessing is worse than the extra slash","One of the small set the source allows in formal contexts, with tôi as the reciprocal. It is age-marked, which is the point: it says the writer has placed the reader, and placing them wrongly is worse than bạn",\banh\b(?!\s*(?:ấy|ta|em|chị)),Anh cần size nào?,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
chị,2,singular,-,respectful,tôi; chúng tôi; em; tên thương hiệu,anh; anh/chị; em,chị ấy and chị ta are third person; chị em means sisters or women collectively,social; web; chat; email; marketplace; sales-deck,"the reader's gender is not known, same as anh","The female counterpart in the formal set. A piece that addresses anh in one section and chị in another is fine when the sections are aimed at different buyers, and broken when they are the same section",\bchị\b(?!\s*(?:ấy|ta|em)),Chị đặt trước giúp em nhé.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
anh/chị,2,either,-,respectful,tôi; chúng tôi; em,anh; chị; em,-,social; web; chat; email; marketplace; sales-deck; pr,the channel is a short caption. Four syllables of politeness in a nine-word line is the whole line,"The workable default for a stranger of unknown gender, and what the source names as the modern replacement for the obsolete ngươi. Slightly formal, never wrong, and the address most Vietnamese SME sites and pages actually use - which is why it fits every channel except a caption with no room",\banh\s*/\s*chị\b|\banh chị\b(?! em),Anh/chị để lại số điện thoại.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
ông,2,singular,-,respectful,tôi; chúng tôi; cháu,bà,"ông ấy and ông ta are third person; ông nội, ông ngoại and ông chủ are kinship or job nouns",email; sales-deck; pr,"the reader is middle-aged rather than old and the channel is informal. The source allows the formal middle-aged sense, but on social it ages the reader","The correct form for an elderly male reader, with cháu or tôi as the reciprocal. Categories that sell to older buyers get this wrong in the direction of bạn, which is not merely casual but incorrect",\bông\b(?!\s*(?:ấy|ta|nội|ngoại|chủ|bà)),Ông giữ hoá đơn này nhé.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
bà,2,singular,-,respectful,tôi; chúng tôi; cháu,ông,"bà ấy and bà ta are third person; bà nội, bà ngoại and bà chủ are kinship or job nouns",email; sales-deck; pr,"the reader is middle-aged rather than old and the channel is informal, same as ông",The female counterpart. Paired with ông it covers an older audience without guessing an age band,\bbà\b(?!\s*(?:ấy|ta|nội|ngoại|chủ)),Bà uống trước bữa ăn.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
em,1-or-2,singular,-,intimate,anh; chị; anh/chị,anh; chị; anh/chị,"em is first person when the seller defers to an older buyer and second person when the buyer is younger, and it is also a romantic endearment and the ordinary word for a younger sibling",chat; social; marketplace,"used as second person to a buyer whose age is unknown. Calling a stranger em assigns them a lower rank, and getting that wrong is the one register error buyers reply to",The dominant first person in Vietnamese retail chat - em gửi anh - and the reason a detector cannot simply count second-person forms. Which side of the conversation em is on depends on who else is named in the sentence,\bem\b(?!\s*(?:ấy|gái|trai|bé)),Em gửi anh ảnh sản phẩm.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
quý khách,2,either,-,elevated,tôi; chúng tôi,quý vị,-,email; web; marketplace; pr; sales-deck,"the seller is a small shop on social. This is the register of an airline and a bank, and on a home bakery's page it reads as a pasted template","Documented as audience-elevating and still in current use. It is the safest form when nothing about the reader is known, and it costs warmth in exactly the channels where warmth is what converts",\bquý khách\b,Quý khách vui lòng giữ hoá đơn.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
quý vị,2,either,-,ceremonial,tôi; chúng tôi,quý khách,-,pr; email; sales-deck,"the piece sells anything. quý vị addresses an assembled audience, so in a product description it implies a room that is not there","Also documented as audience-elevating, one tier above quý khách: esteemed guests rather than valued customer. Correct at a launch, a press statement or a stage script, and ceremonial anywhere else",\bquý vị\b,Kính thưa quý vị.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
các anh chị em,2,plural,-,respectful,tôi; chúng tôi,-,-,pr; social,the audience is a marketplace listing or an inbox. It addresses a gathering,"The documented way to address a mixed audience of roughly the writer's own age, with các ông bà anh chị em covering all ages at once. It is a greeting, not a copy-wide address form: a piece that opens on it and then settles into bạn has changed who it is talking to",\bcác (?:ông bà )?anh chị em\b,Kính chào các anh chị em.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
mọi người,2,plural,-,peer,tôi; mình; bọn mình; chúng ta,-,-,social; chat,"the piece is one-to-one, or the seller is formal elsewhere in the same piece","Not a pronoun in the reference grammar - it is the noun phrase everybody - and it functions as one in current social copy. Graded as craft because the source does not attest it, not because it is rare",\bmọi người\b,Mọi người đặt trước giúp mình nha.,craft-heuristic,references/address-register.md
khách hàng,2,either,-,third-person,tôi; chúng tôi,-,"khách hàng is an ordinary noun, so it appears in copy that describes customers rather than addressing them, and both uses are grammatical",web; marketplace; sales-deck,"a real second-person form appears in the same piece. Then half the copy talks to the reader and half talks about them, and the reader can feel the seam","The source allows virtually any person-noun to serve as a pronoun, so addressing the reader as khách hàng is not an error. What makes it a tell is the mixture, and the mixture is what a template produces: policy sections written about customers pasted next to body copy written to one",\bkhách hàng\b,Khách hàng nhận hàng trong 2 ngày.,craft-heuristic,references/address-register.md
ngươi,2,singular,-,archaic,ta,-,-,-,"always, in commercial copy","The source lists it as obsolete and names bạn or anh/chị as what modern Vietnamese uses instead. It survives in machine translation of Chinese period fiction and in game localisation, and it is a different string from người, so a spellcheck will not find it",\bngươi\b,Ngươi muốn gì?,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
mày,2,singular,-,impolite,tao,-,"lông mày means eyebrow, which puts this string in ordinary cosmetics copy",-,"always, unless the piece is quoting somebody","Superior to inferior and familiar. Impolite outside family use, and the cosmetics collision is real: a brow product's description contains the string and means nothing by it",(?<!lông )\bmày\b,Mày làm gì đấy?,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
người ta,3,plural,-,third-person,-,-,-,social; chat,"it carries a claim. người ta nói attributes a statement to nobody, and a claim with no holder is the one thing a competitor can report","The widest-reference pronoun in the language - the source glosses it as they, people in general, generic one, we, someone - which is exactly why it is the Vietnamese studies show. If the claim needs a source, name it. If it does not, drop the attribution and state the fact",\bngười ta\b,Người ta nói cái này tốt.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
