look_id,name_vi,name_en,family,origin,skin_finish,coverage_texture,brows,eyeshadow,liner_lashes,cheeks,contour_highlight,lips,palette_retouch,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,evidence_grade,source
cn-livestream,Trang điểm livestream bán hàng,Livestream selling face,chinese,Chinese and South-East Asian livestream commerce,"Matte to satin, powdered against hours of hot key light","Full, and reapplied; longevity beats realism here",Strong and defined so expression survives compression,"Simple warm lid, minimal gradient; complexity is lost to the bitrate","Clear liner shape and dense lashes, both chosen to survive a low-resolution stream","Medium-strong, placed to survive the ring light washing the centre of the face",Light contour only. Heavy contour turns to grey patches under a ring light,"Opaque, high-contrast against the skin, because the lip carries the talking head","High contrast, warm, no subtle mid-tones; in-camera beautification assumed","Every element chosen for legibility at low bitrate under one frontal source, not for close inspection",cn-douyin,Livestream drops the face-slimming contour because a ring light kills it; Douyin keeps it because the shot is short and controlled,Correct at 720p under a ring light; flat and heavy in a still photograph,"Livestream commerce, talking-head video, long-session shoots","Stills, print, or any close beauty crop",inferred,"Recall, unverified 2026-07-30; assembled from observed livestream practice, not from a documented standard"
vn-co-ba,Trang điểm cô Ba Sài Gòn,Co Ba Saigon retro,vietnamese,"Vietnamese mid-century Saigon styling, revived in film and áo dài editorial","Soft matte, powdered, even","Medium to full, texture quieted; the era's photography was soft","Thin to medium, clearly arched, drawn with a defined tail — the single most era-specific element","Neutral or soft blue-grey wash on the lid, socket lightly deepened","Black liner along the lash line with a short lifted flick; lashes curled, mascara heavy on the upper lash","Warm rose on the cheekbone, blended toward the ear rather than the nose","Neither, or the faintest cheekbone shade; the era predates modern sculpting","Full, opaque, blue-red or brick, matte, hard-lined to the natural border","Warm, mid contrast, film-leaning grade with slightly lifted blacks","Arched thin brow plus a hard-lined matte red lip, on an otherwise soft face",era-1950s-hollywood,"The brow and the wing. Co Ba keeps the flick short and the brow thinner and higher; 1950s Hollywood runs a long heavy wing and a fuller, straighter brow",Suits soft frontal light and a warm film grade; modern hard beauty light makes the drawn brow look pasted,"Áo dài, Tết, heritage F&B, Vietnamese period editorial, local-pride positioning","Contemporary clean beauty, or when the product is skincare",inferred,"Recall, unverified 2026-07-30; characterised from Vietnamese period film and áo dài editorial, not from primary mid-century sources"
vn-bridal-traditional,Trang điểm cô dâu truyền thống Việt,Vietnamese traditional bridal,vietnamese,Vietnamese wedding and áo dài ceremony practice,"Satin, set to survive heat and a full day; glow placed on the cheekbone only","Full, evened, engineered for flash photography rather than for daylight realism","Defined, softly arched, filled to a clean tail; groomed rather than fashionable","Warm bronze, peach or rose gold with shimmer on the lid and a deepened outer corner","Defined liner with a lifted outer corner, strip lashes, lower lash line softly shaded","Warm rose or coral on the cheekbone, medium strength, well blended","Both, moderate, with the highlight kept off the forehead where flash finds it","Opaque rose, coral or red with a defined edge, satin finish, chosen to hold through the day","Warm, mid-high contrast; retouch keeps the family resemblance intact","Built for direct flash and a long day: nothing wet on the forehead, everything set, edges deliberately soft",us-soft-glam,"Bridal is soft glam engineered for flash and duration — set forehead, no wet highlight, stronger lip. Soft glam assumes controlled light and can afford a dewy T-zone","Correct under on-camera flash, which is how most of the day will be shot; slightly heavy in soft daylight","Wedding studio, áo dài rental, bridal service marketing","Editorial or skincare work, where the setting powder reads as heavy",craft-heuristic,"Recall, unverified 2026-07-30; check against Vietnamese wedding studio portfolios and bridal artist interviews"
us-clean-girl,Mặt mộc kiểu tối giản,Clean girl,western-commercial,"Western social media, 2021 onward",Luminous but not wet; a controlled sheen on the cheekbone and nowhere else,"Sheer, skin tint rather than foundation; freckles kept and sometimes drawn on","Laminated — brushed up and held, dense, deliberately slightly unruly. The load-bearing element","None, or a single cream neutral smudged with a finger","No liner; lashes curled and coated once, kept separated","Cream blush high on the cheekbone, blended toward the temple","Cream bronzer where the sun would land, liquid highlight on the cheekbone only",Nude-brown liner drawn near the natural border with a clear gloss over it,"Warm neutral, mid contrast, texture kept — the retouch has to look unretouched","A laminated brow above a bare lid, with the whole face's structure coming from cream bronzer",kr-no-makeup,"The brow settles it. Clean girl laminates it up into a visible block; Korean no-makeup leaves it soft and unstyled. Clean girl also uses a lip liner, which no-makeup never does",Built for daylight and a front-facing phone; the cream products go patchy under hard flash,"Skin tint, cream blush, brow gel, lip oil; wellness and minimal-brand positioning",Any market where an obviously worked brow reads as trying too hard,industry-primary,"Recall, unverified 2026-07-30; the term is documented in Western beauty press from 2021 — check attribution and the criticism of it as a rebrand of existing practice"
us-glass-skin,Da bóng như kính,Glass skin (Western reading),western-commercial,"Western adaptation of a Korean term, 2017 onward","Very high shine applied as distinct highlight placements, with visible boundaries between shine and matte","Medium, smoothed; the surface is treated as glass rather than as skin","Groomed and defined, secondary","Minimal, often a wash of the same highlighter",Light; the base is the subject,"Sheer, sometimes skipped so nothing interrupts the shine","Liquid or balm highlight on the cheekbone, nose bridge, cupid's bow, brow bone and chin, each as a placed shape","Gloss, usually clear or a sheer nude","Cool-clean grade, high contrast, aggressive smoothing","You can see where each highlight starts and stops, because they are placements rather than a finish",kr-mul-gwang,Edges. Glass skin has visible highlight boundaries; mul-gwang has none because the glow is the base. This is the most common misidentification in the whole table,Wants a large soft source at an angle; frontal light flattens the placements into grey smears,"Highlighter, primer, gloss, illuminating product","Skincare efficacy claims — the shine is provably a product, not a skin condition",myth-adjacent,"Recall, unverified 2026-07-30; the Western usage detached from the Korean original, so the label predicts a look poorly — verify what a given brief means before executing it"
us-instagram-glam,Glam Instagram,Instagram glam,western-commercial,"Western social beauty, 2014-2019, now dated","Matte, heavily set, with highlight placed as a hard stripe","Full, baked under the eye and along the jaw; texture entirely gone","Sharply outlined with concealer, filled solid, with the front squared off — the Instagram brow",Cut crease: a hard concealer line above the socket with a dark warm outer V below it and shimmer on the lid,"Long sharp black wing, dense strip lashes, lower lash line lined and smoked","Strong, placed on the cheekbone and up to the temple","Both at maximum: nose narrowed with two lines, cheekbone shaded hard, highlight baked and striped","Overlined past the natural border, matte liquid, dark liner into a lighter centre","High contrast, warm, heavy smoothing and reshaping",A hard concealer line above the crease and a highlight stripe with an edge you can trace,cn-douyin,"Instagram glam widens the eye with a cut crease and an overlined lip; Douyin narrows the whole face and keeps the eye small and warm. One inflates features, the other shrinks them",Designed for a ring light and a phone; a long lens under soft light shows every product edge,"Only when a period reference to the late 2010s is wanted, or the brief is explicitly maximalist","Anything current. This look now dates a campaign to a specific era, which is a positioning cost",craft-heuristic,"Recall, unverified 2026-07-30; the era is well documented in beauty press retrospectives — check before calling it dead in a specific market"
us-soft-glam,Glam dịu,Soft glam,western-commercial,"Western bridal and event makeup, 2019 onward","Satin, dewy on the cheekbone, set on the T-zone",Medium to full but blended to look thinner than it is,"Defined, softly arched, brushed rather than outlined","Neutral warm gradient in the socket with shimmer on the centre lid; the crease is soft, never cut","Soft brown or black liner smudged into the lash line, small wing or none, natural-density lashes","Warm rose or peach on the cheekbone, well diffused","Both, restrained; cream rather than powder so the edges stay soft","Nude-rose to mauve, satin, lined at the natural border","Warm neutral, mid contrast, clean commercial retouch",Every element of glam is present and no edge is hard anywhere,vn-bridal-traditional,Look at the forehead and the lip strength. Soft glam allows a dewy T-zone and keeps the lip nude; Vietnamese bridal sets the forehead flat for flash and pushes the lip to full colour for the day,"The most forgiving look in the table; works in daylight, studio and soft flash","Event, bridal, corporate portrait, presenter, anything that has to be safe","When the brief asks for a point of view. This is the default, and defaults do not differentiate",craft-heuristic,"Recall, unverified 2026-07-30; check against event and bridal artist portfolios"
us-overlined-lip,Môi vẽ tràn viền,Overlined lip,western-commercial,"Western social beauty, 2014 onward",Any; the lip is the device,"Medium to full, with the natural lip border concealed so the new line reads clean","Defined, usually to match the lip's deliberateness","Restrained, so the lip stays the subject",Moderate,"Moderate, often in the lip's hue family","Highlight on the cupid's bow, which sells the overline as structure","Liner drawn past the natural border, heaviest at the cupid's bow and the lower centre, filled to full opacity",Mid to high contrast; the lip edge stays sharp in retouch,The lip colour crosses the natural border and there is a faint concealer halo where the real edge was,kr-gradient-lip,"Which side of the border the colour is on. Overlined crosses it, gradient stops short of it. Opposite techniques that get filed under the same word, full lip","Reads at any size, which is why it survived; the concealer halo shows under hard light","Lip liner, lipstick, plumping product, and any shot that will be seen small","Skincare, natural positioning, or older audiences where it reads as a filter aesthetic",craft-heuristic,"Recall, unverified 2026-07-30; widely documented — check whether the current market reads it as dated"
us-under-eye-blush,Má hồng dưới mắt,Under-eye blush,western-commercial,"Western social beauty, 2022 onward, borrowed from Japanese practice","Satin, kept simple",Sheer to light; the under-eye is left uncorrected so the colour reads clean,"Soft, brushed up","None, or the blush itself carried onto the lid",None or minimal,"Blush placed directly under the eye and up onto the eyelid, higher than any conventional placement","Neither, usually; contour would fight the flatness","Tinted, in the same hue family","Warm or cool depending on the hue, low contrast",One wash of colour under the eye with no highlight and no visible edge,jp-igari,Igari crosses the nose bridge and runs red; under-eye blush stays inside the eye socket area and is usually pink or peach. Igari is also the original — this is its Western reading,Reads as tiredness or allergy under a cool grade; needs a warm grade to read as intended,"Cream and liquid blush launches, minimal beauty, youth positioning",Older subjects and any market where redness under the eye reads as unwell,craft-heuristic,"Recall, unverified 2026-07-30; the borrowing from igari is documented in beauty press — credit it rather than presenting the look as new"
ed-runway-graphic,Kẻ mắt đồ hoạ sàn diễn,Runway graphic,editorial,Fashion week backstage and beauty editorial,Whatever contrasts with the device — usually bare and matte so the graphic reads as paint,"Sheer or none; the skin is a ground, not a subject","Often bleached, blocked out or ignored entirely so they do not compete","One graphic device only: a floating line, a colour block, a wing detached from the lash, a painted shape","The graphic is the liner. Lashes bare, or extended into the graphic as part of the shape",Usually bare,Neither. Sculpting reads as commercial and undoes the intent,"Bare, or a second graphic in the same colour system","High contrast, colour-accurate; the retouch protects the paint edge and the bare skin equally","One shape appears on the face that does not exist on any street face, and everything else is bare",kr-idol-stage,Ask if any element is an unconventional shape. Runway breaks the grammar once and leaves the rest empty; idol stage keeps every convention and raises the volume of all of them,"Wants hard, direct, controlled light so the paint edge stays crisp; soft light turns a graphic into a smudge","Brand statement, launch key visual, fashion collaboration, art direction that needs to be talked about",Performance advertising and conversion work; a device that stops the scroll can also stop the sale,craft-heuristic,"Recall, unverified 2026-07-30; check against Vogue and Dazed backstage beauty coverage"
ed-wet-editorial,Mặt ướt kiểu tạp chí,Wet editorial,editorial,Beauty editorial and fragrance advertising,"Genuinely wet — gel, glycerin or water on the skin, with real droplets and real specular points","Minimal to none; the water is the finish and it has to sit on skin, not on foundation","Slicked, sometimes with gel visible, following the wet logic",Gloss or gel on the lid rather than pigment; may crease and that is allowed,Bare or wet-clumped on purpose; separation is not the goal here,Bare or a stain that survives water,None applied. The water supplies every highlight,"Gloss or balm, heavy","Cool or neutral, high contrast, specular highlights protected — do not clone out the droplets","Individual droplets with their own tiny highlights, and product that has visibly moved",kr-mul-gwang,Look for discrete droplets and for pigment that has run. Mul-gwang is a dry-to-touch sheen; wet editorial is actually wet,Needs a hard small source or the droplets lose their highlights and read as blotchy skin,"Fragrance, water-based skincare, swim, sport, summer campaigns","Long-wear, transfer-proof or oil-control claims, which the frame contradicts",craft-heuristic,"Recall, unverified 2026-07-30; check against fragrance campaign archives and beauty editorial"
ed-monochrome,Một sắc trên toàn mặt,Monochrome tonal,editorial,"Beauty editorial, recurring since the 1960s","One consistent finish across the whole face, chosen to let the single hue read","Medium and even, so the hue is not disturbed by tonal variation","Often tinted into the hue family, or blocked out entirely","The hue, on the lid and into the socket","The hue again, if liner is used at all","The hue, placed conventionally",Only where it supports the hue; usually a single pearl of the same family,"The hue once more, at a different texture — matte lip against a shimmer lid, or the reverse","One hue family, contrast carried by texture rather than by colour","Eye, cheek and lip are all the same colour and only the finish changes between them",ed-runway-graphic,Monochrome repeats one colour across conventional placements; runway graphic puts one unconventional shape somewhere and leaves the rest bare,"Needs accurate colour management, because the whole look is one hue and a grade shift ruins it","Palette launches, colour-story campaigns, brand-colour key visuals","Flat colour with no texture variation, which reads as a costume rather than as makeup",craft-heuristic,"Recall, unverified 2026-07-30; check against 1960s and contemporary beauty editorial"
ed-skin-first,Ưu tiên chất da,Skin-first editorial,editorial,Contemporary beauty editorial reacting against heavy retouch,"Real: sheen where the face is naturally oily, dry where it is dry, no evening out","None to sheer. Pores, scars, texture, blemishes and tonal shifts all stay",Groomed only,"None, or a barely-there cream",Bare,"None, or a stain",Neither,Balm,"Neutral, mid contrast; retouch limited to dust and stray hair. Removing texture defeats the entire brief",Visible pores and real tonal variation in a professionally lit frame — the difficulty is deliberate,kr-no-makeup,"Korean no-makeup evens the skin and hides the work; skin-first refuses to even it. One conceals effort, the other refuses the concealing","Unforgiving. Needs a large soft source and a long lens, and it will show every base fault","Dermatology, honest-beauty positioning, texture-led skincare, campaigns claiming realness","Foundation and concealer, whose whole promise is the coverage this look declines",craft-heuristic,"Recall, unverified 2026-07-30; check against recent beauty editorial and honest-beauty campaign coverage"
era-1920s,Trang điểm thập niên 1920,1920s flapper,era,Western 1920s,"Flat matte, pale, powdered",Full and even; the era's film stock demanded it,"Very thin, drawn straight or downturned, extended past the natural end","Dark grey, green or plum smudged around the whole eye socket, round rather than lifted","Kohl smudged all round including the lower lid; lashes heavily blacked, clumping accepted","Round, placed low on the apple, quite saturated",Neither,"Cupid's-bow shape drawn small and rounded well inside the corners, deep red, matte","Low colour, high contrast; suits a monochrome or heavily desaturated grade",Downturned thin brow plus a small rounded cupid's-bow lip that does not reach the mouth corners,era-1950s-hollywood,The lip corners. The 1920s lip stops well short of them; the 1950s lip fills them and often overdraws,"Built for orthochromatic film, so it reads oddly heavy in colour; grade toward monochrome","Period editorial, jazz-age events, heritage spirits and hospitality",Contemporary beauty of any kind,craft-heuristic,"Recall, unverified 2026-07-30; check against period photography and costume-makeup references"
era-1950s-hollywood,Cổ điển Hollywood 1950,1950s Hollywood,era,Hollywood studio era,"Soft matte, even, with a faint powdered glow","Full, smoothed, texture quieted for the studio lens","Full, defined, arched with a clean tail; darker than the hair","Neutral or soft taupe in the socket, pale on the brow bone","Long black wing extending well past the outer corner and lifting; dense lashes, sometimes with a corner cluster","Rose on the cheekbone, blended toward the ear",Light shading under the cheekbone; highlight on the brow bone and cupid's bow,"Full, hard-lined, opaque blue-red, matte to satin, corners filled and often slightly overdrawn","Warm, high contrast; the grade should tolerate a strong red",A long lifted wing and a hard-edged full red lip on a soft matte face,vn-co-ba,Brow weight and wing length. Hollywood runs a full dark brow and a long wing; Co Ba Saigon keeps the brow thin and high and the flick short,Made for the studio key-plus-fill of the era; suits Rembrandt light and a warm grade,"Luxury, heritage, red-lipstick launches, glamour editorial","Youth and clean positioning, where it reads as costume",craft-heuristic,"Recall, unverified 2026-07-30; check against studio-era stills and makeup-history references"
