kpi_id,aspect,name_vi,name_en,measurement,unit,direction,calc_method,is_financial,indicator_type,use_when,trap,evidence_grade,source
complaints,C,Số khiếu nại,Number of complaints,Count of logged customer complaints,No,lower_better,ratio,no,lagging,Service and quality objectives once volume is high enough that zero is not the expected value.,"Falls when logging gets worse as readily as when service gets better. Pair it with a leading KPI that counts contacts, or the scorecard rewards a broken intake form.",craft-heuristic,Direction taken from the guideline list of lower-is-better metrics in BSC_2025_template.xlsx sheet Guidelines
ctr,C,Tỉ lệ click,Click-through rate,Clicks / impressions,%,higher_better,ratio,no,leading,Channel work where the creative is the variable and the spend is fixed.,Cheap to move and easy to mistake for a result. A creative that doubles CTR and halves conversion has made the number better and the business worse. Never state a causal claim from CTR.,craft-heuristic,Platform-standard definition; graded a heuristic because its link to revenue is not measured by the metric itself
cac,C,Chi phí thu hút khách,Customer acquisition cost,Acquisition spend / new customers acquired,$,lower_better,ratio,no,leading,Paid-channel scorecards where the question is whether growth is affordable.,"Money-denominated but not booked in the financial statements, so whether it takes the 130% financial cap or the 100% non-financial one is a decision the organisation has to make. The source file does not answer it. Graded non-financial here as the safer default, because the lower cap cannot inflate a bonus.",inferred,Standard definition; the cap question is unresolved in BSC_2025_template.xlsx
mer,C,Tỉ lệ hiệu quả marketing,Marketing efficiency ratio,Total revenue / total marketing spend,No,higher_better,ratio,no,leading,Blended-channel reporting where per-channel attribution is not trusted.,"Deliberately unattributed, which is its strength and its limit: it says the whole engine is working, never which part. Do not cascade it to a channel owner as a personal KPI.",industry-primary,Standard direct-to-consumer definition; named in the source file's KPI Warehouse sheet
romi,C,Lợi nhuận trên chi phí marketing,Return on marketing investment,(Gross profit from marketing - marketing spend) / marketing spend,%,higher_better,ratio,yes,lagging,Budget decisions where the alternative use of the money is the real comparison.,"Needs gross profit, not revenue, on the numerator. Substituting revenue turns a losing campaign into a winning number and the error is invisible in the output.",industry-primary,Standard definition; named in the source file's KPI Warehouse sheet
retention_rate,C,Tỉ lệ giữ khách,Customer retention rate,Customers active at end of period who were active at start / customers active at start,%,higher_better,ratio,no,lagging,Subscription and repeat-purchase businesses where acquisition is already working.,"Defined by the window. Monthly and annual retention are different metrics with the same name, and a scorecard that does not state the window cannot be compared to the year before it.",craft-heuristic,Standard definition; window is a stored decision rather than a derived one
nps,C,Điểm khuyến nghị ròng,Net Promoter Score,Percent promoters minus percent detractors,No,higher_better,scale,no,lagging,Relationship-led categories where one survey question is all the customer will answer.,"Runs from -100 to +100, so a ratio breaks across zero: -10 against a target of 20 returns -50%, and -10 against a target of -20 returns +50%. Score it on a scale, never as actual/target.",craft-heuristic,Standard definition; the ratio failure follows directly from arithmetic and must be reviewed on a scale
lead_time,P,Thời gian giao hàng,Lead time,Days from confirmed order to delivery,Days,lower_better,ratio,no,lagging,Operations objectives where the customer feels the delay before they see the quality.,"Averages hide the tail. Ten orders at three days and one at forty averages to six, and the one at forty is the complaint. Consider a percentile rather than a mean.",craft-heuristic,Direction taken from the guideline list of lower-is-better metrics in BSC_2025_template.xlsx sheet Guidelines
on_time_delivery,P,Tỉ lệ giao đúng hẹn,On-time delivery,Orders delivered by promised date / orders delivered,%,higher_better,ratio,no,lagging,Wholesale and B2B scorecards where the promise is the product.,Improves when the promise gets looser. Read it beside lead_time or a team can hit it by quoting four weeks for everything.,craft-heuristic,Standard definition; pairing rule is a craft judgement
milestone_date,P,Mốc hoàn thành hồ sơ,Signed-document milestone,Date the agreement licence or certification is signed,Date,lower_better,date,no,leading,One-off compliance and launch gates where the only question is whether it lands in time.,"The date branch is the scale branch on a day axis: earlier is better, so the rungs run later as achievement falls. Compare day ordinals, not strings — ISO dates happen to sort correctly as text and no other format does, so a string comparison is a bug that passes its first test. The source file stores these as Excel serials, which is why 45473 and not a date appears in the cell.",confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row P2.1 — target 2024-06-30 actual 2024-01-30 rungs 2024-07-30 09-30 10-30 11-30 at 75/50/25/0%
sop_published,P,Số quy trình ban hành,SOPs published,Count of standard operating procedures approved and published,No,higher_better,scale,no,leading,Process-maturity objectives where the work is discrete and each item is a decision.,"A count of documents, not of adoption. It can be fully achieved by a folder nobody opens; pair it with a lagging process KPI.",craft-heuristic,Scale method inferred from comparable non-linear counts in BSC_2025_template.xlsx sheet 2024
content_published,P,Số nội dung xuất bản đúng lịch,Content published on schedule,Pieces published on the planned date / pieces planned,%,higher_better,ratio,no,leading,Content-engine scorecards where the failure mode is a calendar that quietly slips.,"Measures the calendar, not the work. A team can publish everything on time and move nothing, which is why it belongs in Processes and not in Customer.",craft-heuristic,Craft judgement; not present in the source file
turnover_rate,G,Tỉ lệ nghỉ việc,Employee turnover rate,Leavers in the period / average headcount,%,lower_better,ratio,no,lagging,Any people aspect. It is the one number that shows up after the decisions that caused it.,"The file's own cascade example: company turnover under 20% is lagging and arrives too late to act on, so HR carries a happiness-survey score above 80% and a flexible-working launch date as its leading pair. A People aspect with only this KPI cannot be steered.",confirmed-fixture,BSC_2025_template.xlsx sheet Guidelines — turnover rate < 20% cascaded to HR as two leading KPIs
happiness_survey,G,Điểm khảo sát hạnh phúc,Employee happiness survey,Average score on the internal engagement survey,%,higher_better,ratio,no,leading,The leading half of a turnover objective, cascaded to the team that can act on it.,Self-reported and cheap to move with a good week. Store the response rate: a 90% score from a third of the company is a different number from a 90% score from all of it.,"confirmed-fixture, BSC_2025_template.xlsx sheet Guidelines — happiness survey > 80% as the leading pair to turnover"
training_hours,G,Giờ đào tạo,Training hours delivered,Hours of training delivered per employee in the period,Hours,higher_better,ratio,no,leading,Capability-building objectives in a year where the skill gap is the stated constraint.,"A pure activity count, fully achievable while nothing changes. On its own it measures attendance; give it a lagging partner or drop it.",craft-heuristic,Named in the guideline list of leading indicators in BSC_2025_template.xlsx
headcount_plan_filled,G,Tỉ lệ tuyển đủ,Headcount plan filled,Positions filled / positions in the approved plan,%,higher_better,ratio,no,lagging,Growth years where the plan depends on hiring landing before the season.,"Filled is not started, and started is not productive. If the plan needs people working rather than signed, measure the start date instead.",craft-heuristic,Craft judgement; not present in the source file
flexible_working_launch,G,Mốc áp dụng làm việc linh hoạt,Flexible working launch,Date the flexible-working policy takes effect,Date,lower_better,date,no,leading,Policy commitments cascaded down from a people objective, where the date is the deliverable.,"A date KPI scores fully the moment it lands and then says nothing for the rest of the year. It belongs beside a KPI that keeps moving, not alone in the aspect.","confirmed-fixture, BSC_2025_template.xlsx sheet Guidelines — apply flexible working before 01/06 as a cascaded leading KPI"
