id,language,layer,marker,gloss_en,detect,detect_regex,what_it_carries,translated_instead,example_human,example_translated,fits_channel,wrong_when,evidence_grade
reduplication-degree,vi,degree,Từ láy thay cho `rất` cộng tính từ,reduplication instead of a stacked intensifier,regex,\b(?:từ từ|nho nhỏ|sạch sẽ|đo đỏ|xinh xinh|hơi hơi|đều đều|chầm chậm|thoang thoảng|mằn mặn|ngòn ngọt)\b,Grades the quality inside the word instead of parking an adverb in front of it,"`rất` plus an adjective, once per sentence, because the English had `very`","Nước dùng ngòn ngọt, không phải ngọt đường.",Nước dùng có vị rất ngọt tự nhiên.,any,"A measured number is available, and then the number is better",native-usage-sample
serial-verb-chain,vi,verb,"Chuỗi động từ liền nhau, không liên từ",verbs strung directly with no connective,manual,,Puts the actions in the order they happened with nothing between them,A subordinate clause opened by `bằng cách` or `sau khi`,Chạy qua chợ lấy rau về nấu.,"Sau khi đến chợ để mua rau, tiến hành chế biến.",any,Never wrong. It is manual because the chain has no fixed shape to match,grammar-descriptive
benefactive-cho,vi,verb,"`cho` chỉ người được hưởng, nằm trong cụm động từ",benefactive `cho` inside the verb phrase,manual,,"Names who the action is for, in the verb, where the action is",A `dành cho quý khách` noun phrase bolted onto the end of the sentence,Gói riêng phần đá cho dễ mang.,Đá được đóng gói riêng nhằm thuận tiện cho quý khách.,any,"Nobody benefits, and then cho is padding",grammar-descriptive
concrete-measure,vi,reference,Số đo cụ thể ở chỗ đáng lẽ là tính từ mức độ,a checkable quantity where a degree adjective would go,manual,,"Gives the reader a number they can check, which is the one thing an adjective cannot do","A degree adjective - `nhanh chóng`, `đa dạng`, `chất lượng cao`","Bốn giờ sáng bắt đầu, sáu giờ mở cửa.",Quy trình chuẩn bị được thực hiện từ sáng sớm.,any,"The number is not known. Then say so, rather than inventing one to pass this row",craft-heuristic
initial-coordinator,en,clause-order,And / But / So opening a sentence,sentence-initial coordinator,regex,(?:^|[.!?]\s+)(?:And|But|So)\s+[a-z],Carries the previous sentence forward without reaching for a Latinate connective,"Furthermore, Moreover, Additionally",The roast date is on the bag. And on the invoice.,"Furthermore, the roast date is indicated on both the packaging and the invoice.",any,"Three sentences running, which is a tic rather than a voice",grammar-descriptive
that-deletion,en,clause-order,Relative `that` left out,zero relative pronoun,regex,\b(?:thing|shop|photo|one|file|number|person|order)\s+(?:you|we|they|he|she|I)\s+\w+,"The clause the way it is spoken, without the pronoun the speaker never says","Every relative pronoun present, because a generator never omits one",The shop you bought it from keeps the record.,The retail location at which the purchase was made maintains the record.,any,The sentence is long enough that the reader needs the signpost,grammar-descriptive
phrasal-over-latinate,en,lexis,Phrasal verb where a Latinate single word would fit,phrasal verb preferred to its Latinate synonym,regex,\b(?:use up|used up|put off|find out|found out|set up|hand over|handed over|turn down|turned down|run out|ran out|take on|work out)\b,The verb a person reaches for first,"utilise, postpone, ascertain, establish, decline",Two of them ran out before noon.,Inventory of two items was depleted prior to midday.,any,A legal or technical term is the precise one and the phrasal verb is only friendlier,grammar-descriptive
get-passive,en,verb,`got` passive rather than `was`,get-passive,regex,\bgot\s+\w+ed\b,"Marks the event as something that happened to somebody, and keeps them in the sentence",A `was … by` passive with the affected party moved to the end or deleted,Two customers got charged twice.,Duplicate charges were applied to two customer accounts.,social; chat; email; web,"pr; a regulatory filing, where got is too loose to stand",grammar-descriptive
contraction,en,lexis,Contracted forms,contraction,regex,\b\w+['’](?:s|t|re|ll|ve|d)\b,The register of somebody talking rather than somebody filing,"Every form expanded, which is the cheapest tell in English and the easiest to fix",It's on the bag. We don't print it anywhere else.,It is printed on the packaging and is not indicated elsewhere.,social; chat; email; web; marketplace,"pr; a contract, where the expanded form is the convention and not a tell",grammar-descriptive
preposition-stranding,en,clause-order,Preposition left at the end of the clause,preposition stranding,regex,"\b(?:you|we|they|I)\s+\w+\s+(?:from|for|with|about)\s*[.!?,]","Puts the preposition where speech puts it, at the end","A fronted `from which` or `with whom`, which nobody says out loud",That is the roaster we buy from.,That is the roasting facility from which we procure.,any,"Formal legal drafting, where the fronted form is the house convention",grammar-descriptive
