fact_id,model_family,axis,claim,url,retrieved,evidence_grade,what_it_does_not_establish,how_to_use_it
midjourney-text-recovery,midjourney,in-image-text,Documented recovery when text fails: switch to Raw mode or lower stylize. Text generation is documented as a V6-and-later feature,https://docs.midjourney.com/hc/en-us/articles/32502277092109-Text-Generation,2026-07-31,vendor-doc,That stylize is the cause rather than a correlate,"Change one of the two, regenerate, and record which one moved it, so the finding survives the session"
firefly-text-effects-indemnity,firefly,in-image-text,"Text Effects is a separately defined feature and Adobe IP indemnification covers output generated from 13 September 2023 onward, expressly not extending to the letter and character shapes themselves",https://helpx.adobe.com/legal/product-descriptions/adobe-firefly.html,2026-07-31,vendor-doc,"Indemnity for any other provider, and cover for the typeface design itself","The commercially load-bearing line for typography work. Generated letterforms are not covered, so licensed type still has to be set in a design tool"
flux-text-guidance,flux,in-image-text,No in-image text guidance located for FLUX.1 or FLUX.2. The overview page returned a content-filter block on two attempts and was not characterised from memory,https://docs.bfl.ai/flux_2/flux2_overview.md,2026-07-31,no-primary-source,Anything about FLUX text quality in either direction,Recorded as a hole rather than filled with a plausible sentence. Reopen this row when the page is reachable
midjourney-cref-dead,midjourney,character-consistency,"The cref and cw parameters are V6-only, oref and ow are V7-only, neither functions in the current default V8.2, and cref has been removed from the Parameter List page entirely",https://docs.midjourney.com/hc/en-us/articles/3202359803341-Parameter-List,2026-07-31,vendor-doc,"What replaces them in V8.2, which is not documented","Correction, and the most consequential one here. Every character-consistency tutorial in circulation teaches a parameter that no longer runs on the default model"
consistency-is-conditioning,cross-provider,character-consistency,"Every provider that documents character consistency documents it as reference-image conditioning, none as prompt wording, and each states it is not guaranteed",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,A similarity metric or a pass rate for any provider,Why this skill locks identity in a parameter sheet and a seed rather than in adjectives. Wording is not a documented consistency mechanism anywhere
seed-not-reproducible-mj,midjourney,seed,Seeds produce similar but not identical results on current Midjourney models,https://docs.midjourney.com/hc/en-us/articles/32604356340877-Seeds,2026-07-31,vendor-doc,"Which model versions were identical, if any","Never promise a client an identical regeneration from a stored seed here. Store the output file, because the seed is not a substitute for it"
vertex-seed-watermark,imagen,seed,The seed and addWatermark parameters are mutually exclusive,https://firebase.google.com/docs/ai-logic/model-parameters,2026-07-31,vendor-doc,Whether the watermark or the seed is the better thing to keep,"A real fork: on Vertex you get reproducibility or the default SynthID watermark, not both. Decide it at pipeline design time, not per run"
openai-no-seed,gpt-image,seed,"No seed parameter is documented for the image models, and seed language is absent from both the DALL-E 3 and the 4o system cards",https://developers.openai.com/api/docs/guides/image-generation.md,2026-07-31,no-primary-source,That output is not reproducible by some other route,"Reproducibility on this family comes from keeping the prompt and the file, not from a parameter"
dalle-api-removed,gpt-image,lifecycle,"DALL-E 2 and DALL-E 3 are deprecated and removed from the API. Current models are gpt-image-2 flagship, gpt-image-1.5, gpt-image-1 and gpt-image-1-mini",https://developers.openai.com/api/docs/guides/image-generation.md,2026-07-31,vendor-doc,That DALL-E behaviour documented in its system card describes the current models. It does not,"Anything in this skill naming DALL-E as the OpenAI image API is out of date. The system-card findings still apply historically, not operationally"
imagen-shutdown-dates,imagen,lifecycle,"All Imagen models are deprecated with shutdowns beginning 30 June 2026 and 17 August 2026, in favour of Gemini image models",https://docs.cloud.google.com/vertex-ai/generative-ai/docs/deprecations,2026-07-31,vendor-doc,Which Gemini model is the like-for-like replacement for a given Imagen call,"A published expiry date on anything built on Imagen. Both dates sit on or before a 2026-07-31 run, so verify the endpoint responds before quoting the capability"
imagen-encoder-undisclosed,imagen,token-budget,"The text encoder used by Imagen 3, Imagen 4 or any Gemini image model has never been disclosed. T5-XXL is documented only for the 2022 research model",https://arxiv.org/abs/2205.11487,2026-07-31,no-primary-source,The encoder for any current Google image model,"Correction to the common claim that Imagen uses T5-XXL today. Without the encoder you cannot reason about a token window, which is consistent with none being published"
imagen3-no-text-discussion,imagen,in-image-text,Text rendering is not discussed in the Imagen 3 technical report at all; the paper contains no occurrence of text render or typograph,https://arxiv.org/abs/2408.07009,2026-07-31,peer-reviewed-paper,"That the capability is absent, only that the paper does not address it","Keeps the 25-character guideline attached to the prompt guide rather than to the paper, which says nothing on the subject"
vertex-rest-params-gone,imagen,lifecycle,"The Vertex REST reference, the edit-images page and the customize pages were removed, and generate-images now contains no occurrence of sampleCount, sampleImageSize, outputOptions or storageUri",https://docs.cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,no-primary-source,"That the parameters stopped working, only that they stopped being documented",Do not reconstruct wire parameter names from memory for this family. Read them off a live successful request or do not send them
4o-public-figures-optout,gpt-image,likeness-policy,"4o image generation permits generating adult public figures with an opt-out mechanism, while DALL-E 3 blocked them and provided no opt-out",https://openai.com/index/addendum-to-gpt-4o-system-card-4o-image-generation/,2026-07-31,system-card,"The publicity, personality or moral rights that apply in Vietnam or anywhere else. A model permission is not a legal permission","Read as vendor policy only. The rights question for a real person is answered in claims-proof-ledger.md, not in a system card"
4o-public-figure-rate,gpt-image,likeness-policy,"Fewer than 2.6 percent of alpha images, about 3500 of more than 100000, contained public figures",https://openai.com/index/addendum-to-gpt-4o-system-card-4o-image-generation/,2026-07-31,system-card,"How often the attempt was made, only how often it appeared in the sample",Useful as scale context for a policy conversation. Not a benchmark of anything about your own prompts
4o-c2pa,gpt-image,provenance,C2PA metadata is attached to all 4o image assets; DALL-E 3 carried none,https://openai.com/index/addendum-to-gpt-4o-system-card-4o-image-generation/,2026-07-31,system-card,"That the metadata survives a platform upload, which strips it routinely",Assume disclosure is machine-readable at the point of generation and gone by the time it is posted. Disclose in the caption if disclosure matters
dalle3-prompt-transformation,gpt-image,likeness-policy,Prompt transformation is described as a policy step in the DALL-E 3 system card and is absent from the 4o addendum,https://openai.com/index/dall-e-3-system-card/,2026-07-31,system-card,What the current models do with a submitted prompt,Explains why a prompt and its result diverged on DALL-E 3. Do not carry the explanation forward to gpt-image without evidence
no-system-card-gpt-image,gpt-image,provenance,"No system card exists for gpt-image-1, 1.5 or 2, verified against the 34 sub-sitemaps of the openai.com sitemap and the safety index",https://openai.com/sitemap.xml,2026-07-31,no-primary-source,The safety or policy behaviour of the current image models,The current flagship image model ships without the document people cite for it. Anything attributed to a gpt-image system card is invented
indemnity-behind-a-tier,cross-provider,likeness-policy,"Commercial questions of likeness, ownership and indemnity resolve in licence and contract text rather than model documentation, and three of the four major providers gate indemnity behind a revenue threshold or an enterprise agreement",https://helpx.adobe.com/legal/product-descriptions/adobe-firefly.html,2026-07-31,vendor-doc,"The terms of any specific account, which is the only version that binds",Read the plan the client is actually on. Indemnity present in a marketing page is frequently absent from the tier they pay for
mj-legal-pages-moved,midjourney,lifecycle,The midjourney.com legal terms-of-service path and the adobe.com firefly-user-guidelines path both return 404; the live terms are the Zendesk article and the Adobe Gen AI User Guidelines,https://docs.midjourney.com/hc/en-us/articles/32083055291277-Terms-of-Service,2026-07-31,vendor-doc,What changed in the terms when the page moved,Cite the URL that resolves today. A dead legal URL in a client deck reads as though the terms were never checked
openai-responses-rewrite,gpt-image,token-budget,"Used through the Responses API image tool, the mainline model automatically revises the prompt for improved performance",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,"What it changes, or whether the revision is returned to you","The prompt you wrote is not necessarily the prompt that ran. Call the images endpoint directly when the wording is the thing under test, or a one-variable iteration is measuring two changes"
imagen-prompt-rewriting-default,imagen,token-budget,"Imagen on Vertex exposes ENABLE_PROMPT_REWRITING, an LLM-based rewriting feature, and its default value is true",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,What the rewriter does to a specific prompt,"Set it false before any prompt A/B, or the comparison is between two rewrites rather than two prompts. The doc warns that disabling it may reduce quality, which is the trade"
gemini-step-by-step,gemini-image,token-budget,"Documented prompt-structure guidance: for complex scenes with many elements, break the prompt into steps",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,"Any ordering or position effect. It is a structure recommendation, not a weighting rule",The only prompt-structure instruction any of these providers publishes. Note what it is not: it says nothing about putting important words first
openai-no-structure-guidance,gpt-image,token-budget,"No guidance on prompt structure or clause ordering appears on the image generation guide; its headings run Overview, Generate Images, Edit Images, Customize Image Output, Limitations, Content Moderation, Cost and latency",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,no-primary-source,That ordering has no effect,"Every ordering rule circulating for this family is inferred, not documented. Say so when handing over a prompt template"
openai-consistency-limitation,gpt-image,character-consistency,Listed under Limitations: the model may occasionally struggle to maintain visual consistency for recurring characters or brand elements across multiple generations,https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,"A failure rate, or which of character and brand element fails more often","The vendor names recurring-character drift as a limitation of the current flagship. Quote it before promising a brand mascot across a campaign, and budget for the retries"
openai-composition-limitation,gpt-image,in-image-text,Listed under Limitations: the model may have difficulty placing elements precisely in structured or layout-sensitive compositions,https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,Which layouts fail. No examples are given,"Generate the scene, then place logo, headline and legal copy in layout. This row is the vendor agreeing with that division of labour"
gemini-reference-counts,gemini-image,character-consistency,"Documented input limits: gemini-2.5-flash-image works best with up to 3 input images, gemini-3-pro-image supports 5 at high fidelity and up to 14 in total, and gemini-3.1-flash-image supports character resemblance for up to 4 characters and fidelity for up to 10 objects in one workflow",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,"How closely a resemblance holds, which is not quantified anywhere","The only published numbers for a character-consistency mechanism in this whole table. Four characters is the documented ceiling for a group shot with recurring people, so a five-person cast needs compositing"
gemini-output-count,gemini-image,provenance,The model will not always follow the exact number of image outputs requested,https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,How often it deviates,Count the returned assets in the pipeline rather than assuming n. A batch script that assumes the requested count will silently produce short sets
gemini-text-then-image,gemini-image,in-image-text,Documented text guidance: Gemini works best if you first generate the text and then ask for an image containing it,https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,A character budget or an accuracy figure,"Two calls, not one: settle the copy, then render it. Which is also how the copy gets reviewed before it is inside a JPEG"
gpt-image-2-size-constraints,gpt-image,output-geometry,"gpt-image-2 accepts any resolution satisfying four constraints: maximum edge at most 3840px, both edges multiples of 16px, long-to-short edge ratio at most 3:1, and total pixels between 655360 and 8294400",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,"Anything about earlier models, which are restricted to a fixed size list","The multiple-of-16 rule is the one that bites: a 1080x1920 story frame is legal, a 1000x1500 one is not. Check the channel spec against these four before building a size list"
gpt-image-2-2k-experimental,gpt-image,output-geometry,"Outputs above 2560x1440, about 3686400 pixels, are described as experimental",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,What experimental means for reliability or price,"Generate at or below 2K and upscale in the finishing step, rather than asking the model for print resolution"
gpt-image-2-no-transparency,gpt-image,output-geometry,"gpt-image-2 does not support transparent backgrounds, and requests with background transparent are not supported for this model",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,Whether earlier gpt-image models still accept it,"A packshot needing a cutout cannot be generated transparent on the flagship. Plan a masking step, or route that one asset to a model that supports it"
imagen-aspect-ratios,imagen,output-geometry,"Documented aspect ratios are 1:1 default, 3:4, 4:3, 16:9 and 9:16",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,"Arbitrary ratios, which are not offered","Five ratios, so any other frame is a crop decided by you rather than the model. Decide it against composition-grids.csv, not by centring"
gemini-aspect-ratios,gemini-image,output-geometry,"gemini-3.1-flash-image documents fourteen aspect ratios including 1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9, 21:9 and the extremes 1:4, 4:1, 1:8 and 8:1",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,Quality at the extreme ratios,"8:1 and 1:8 exist for banner and skyscraper slots that otherwise get cropped out of a square. Check the channel spec first, because most placements do not accept them"
imagen-seed-deterministic,imagen,seed,"SEED_NUMBER is any non-negative integer in the range 1 to 2147483647, and providing the same seed number always results in the same output images",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,"Determinism across model versions, or with prompt rewriting enabled","The strongest reproducibility language any provider publishes, and the reason plan_virtual_person.py emits a seed inside this range. It is also the row that collides with the watermark"
gemini-no-seed,gemini-image,seed,"No seed parameter is documented for the Gemini API image models; the word seed does not appear on the page, which documents output format, aspect ratio and image size only",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,no-primary-source,That output cannot be pinned some other way,Any claim that a Nano Banana model takes a seed has no primary source. Reproducibility here means keeping the reference images and the file
openai-synthid-and-c2pa,gpt-image,provenance,"Images generated with ChatGPT, Codex and the API include both C2PA metadata and SynthID watermarks, and SynthID embeds a signal in the image itself that may persist through some edits",https://help.openai.com/en/articles/8912793-c2pa-and-synthid-in-openai-generated-images,2026-07-31,vendor-doc,"Which edits it survives, and whether it can be removed",Supersedes the 4o system-card row for current models: provenance is no longer only metadata that an upload strips. Assume an AI-generated asset is detectable and disclose deliberately rather than by accident
gemini-synthid-always,gemini-image,provenance,All generated images include a SynthID watermark,https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,Whether it can be removed or disabled. The page states it is applied and says nothing either way about removal,"Not optional on this surface, so there is no watermark-versus-seed trade to make here - there is no seed either"
vertex-watermark-console,imagen,provenance,"The watermark is added automatically and cannot be disabled from the Google Cloud console; through the API addWatermark defaults to true and must be set false explicitly, and a watermarked image carries a verifiable SynthID",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,"Whether disabling it is permitted by the terms, which is a separate question from whether the API allows it","The console and the API differ, which is worth knowing before somebody concludes the watermark is mandatory from clicking around. Turning it off to get a seed is a decision to record, not a default"
openai-output-ownership,gpt-image,ownership,"The Terms of Use state that as between you and OpenAI you own the Output, and OpenAI assigns to you all its right, title and interest in it; the help centre adds that OpenAI will not claim copyright over content generated by the API",https://openai.com/policies/terms-of-use/,2026-07-31,vendor-doc,"Whether the output is copyrightable at all, or whether it infringes anything. An assignment of whatever rights the provider holds is not a warranty that rights exist","The clearest ownership language of any provider here. Quote it to a client asking who owns the asset, and pair it with the separate point that ownership and indemnity are different questions"
google-no-output-ownership,gemini-image,ownership,"No ownership-of-generated-output or commercial-use clause was found across the Google Terms of Service, the Generative AI Additional Terms, the generative AI use policy or the Gemini API image documentation. The Terms clause that your content remains yours is scoped to content you upload, submit, store, send, receive or share, not to model output",https://policies.google.com/terms,2026-07-31,no-primary-source,That you do not own the output. It establishes that Google does not say so where you would look,The asymmetry to know before choosing a provider for client work: one of the two writes down who owns the image and the other does not. Do not paraphrase the uploaded-content clause as an output-ownership clause
google-genai-terms-retired,gemini-image,ownership,"The Generative AI Additional Terms of Service state they no longer apply as of 22 May 2024 unless you are a business partner with a signed agreement referencing them, because the main Terms were updated to cover AI topics",https://policies.google.com/terms/generative-ai,2026-07-31,vendor-doc,What moved into the main Terms and what was dropped,"Anything cited from that page is quoting a retired document. Cite the main Terms, and check the signed agreement if there is one"
google-no-training-on-output,gemini-image,ownership,Prohibited conduct includes using AI-generated content from the services to develop machine learning models or related AI technology,https://policies.google.com/terms,2026-07-31,vendor-doc,Whether ordinary campaign use is affected. It is not; this is about training,Relevant the moment somebody proposes fine-tuning a house model on generated assets. That specific plan is prohibited by the terms of the service that produced them
openai-likeness-usage-policy,gpt-image,likeness-policy,"The usage policies prohibit use of someone's likeness, including their photorealistic image or voice, without their consent in ways that could confuse authenticity, listed under a privacy heading",https://openai.com/policies/usage-policies/,2026-07-31,vendor-doc,"The publicity or personality rights that apply in any given country, which are stricter in several","This is the operative rule for current models, not the 4o system card. Note the qualifier: it is scoped to confusing authenticity, and local law is not"
google-likeness-use-policy,gemini-image,likeness-policy,"The generative AI use policy prohibits violating the rights of others including privacy and intellectual property, gives using personal data or biometrics without legally-required consent as its example, and separately prohibits impersonating an individual living or dead without explicit disclosure in order to deceive",https://policies.google.com/terms/generative-ai/use-policy,2026-07-31,vendor-doc,Whether a stylised likeness counts as impersonation,"The word biometrics is doing work here: a face is biometric data, so a real-face reference is a consent question before it is a craft question"
google-provenance-disclosure,gemini-image,provenance,"The use policy prohibits misrepresenting the provenance of generated content by claiming it was created solely by a human in order to deceive, and the main Terms list misleading others into thinking generative AI content was created by a human as prohibited conduct",https://policies.google.com/terms/generative-ai/use-policy,2026-07-31,vendor-doc,What disclosure wording satisfies it,"Both pages make undisclosed AI authorship a terms question, not only an ethics one. Which settles the recurring argument about whether a generated campaign image needs disclosure"
imagen-person-generation,imagen,likeness-policy,"PERSON_SETTING controls face and person generation with three values: allow_all including minors, the default for Imagen 4 generation models and imagen-3.0-capability-001; allow_adult for adults only including celebrities, the default for all other models; and dont_allow",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,"How the classifier decides, or its error rate",Set it explicitly rather than inheriting a default that differs by model. allow_adult permitting celebrities is a provider permission and not a rights permission
gemini-no-person-setting,gemini-image,likeness-policy,No person_generation parameter appears in the Gemini API image documentation,https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,no-primary-source,"What the surface does about people, only that it exposes no control",Do not port the Vertex parameter across. A request carrying it is being sent to an endpoint that does not document it
gemini-search-grounding-people,gemini-image,likeness-policy,Grounding with Google Search does not support using real-world images of people from web search on gemini-3.1-flash-image at this time,https://ai.google.dev/gemini-api/docs/image-generation,2026-07-31,vendor-doc,Behaviour on other models in the family,"The one path that would have pulled a real face in from the web is closed on this model, which is the outcome this skill wanted anyway"
openai-moderation-control,gpt-image,likeness-policy,"Moderation strictness is a parameter: auto applies standard filtering that seeks to limit certain categories of potentially age-inappropriate content, and low is less restrictive filtering",https://developers.openai.com/api/docs/guides/image-generation,2026-07-31,vendor-doc,What moves between the two settings,Leaving it at auto is a choice with consequences for false refusals on beauty and swimwear work. Record which setting produced a delivered asset
vertex-docs-frozen,imagen,lifecycle,"The Vertex generative AI image pages carry a banner that Vertex AI documentation is no longer being updated and that its services are now part of the Gemini Enterprise Agent Platform, and the negative-prompt page recommends updating model endpoints before 30 June 2026",https://cloud.google.com/vertex-ai/generative-ai/docs/image/generate-images,2026-07-31,vendor-doc,Whether the documented behaviour still holds. A frozen page describes the past accurately and the present only by luck,"Every Vertex-sourced row in this table is a fact about Imagen-on-Vertex, not about the current Gemini API surface. Do not carry seed, watermark, negative-prompt or personGeneration behaviour across the boundary"
