format_id,label,family,unit,size_w,size_h,bleed_mm,safe_margin_mm,edge_allowance_mm,view_distance,viewer_motion,size_grade,size_source,distance_grade,what_it_does_not_tell_you
backdrop-event,Backdrop / phong nen,in-store,mm,vendor-declared,vendor-declared,0,80,vendor-declared,3,standing,vendor-declared,"Sized to the venue's frame, so there is no default. Ask the venue for the frame's internal dimensions and the rigging allowance, and design to those",place-declared,"The distance that matters for a backdrop is usually the camera's, not the audience's. A logo legible to the room can still be unreadable in the photograph that gets published"
table-tent,Table tent / standing card,in-store,mm,100,150,3,6,0,0.5,seated,trade-common-unsourced,A common quoted size. Unverified,declared-assumption,"Read while seated and while doing something else. The constraint is competing attention, which this unit does not measure"
poster-wall-menu,Wall menu board,in-store,mm,900,1200,3,30,0,2.5,standing,trade-common-unsourced,"A common shop-fitted size. Unverified, and in practice cut to the wall",declared-assumption,menu-design.md and menu-engineering.md own what goes on it. This row only settles how big the type has to be
billboard-roadside,Bang quang cao tam lon / roadside billboard,ooh,mm,vendor-declared,vendor-declared,0,vendor-declared,vendor-declared,60,driving,vendor-declared,Every OOH vendor publishes its own inventory dimensions and its own artwork template with its own bleed and eyelet allowance. There is no generic size and a generic file gets rejected. Ask for the site's spec sheet by site code,declared-assumption,"60 m is a placeholder for a road. The real distance is set by approach geometry, lane, speed limit and what obstructs the sightline, and only a site visit or the vendor's own sightline drawing settles it. Permit law is unresearched here"
led-frontage,LED frontage or in-store screen,ooh,px,vendor-declared,vendor-declared,not-applicable,vendor-declared,not-applicable,4,walking,vendor-declared,"Pitch and panel count decide the pixel canvas, so the vendor's own spec is the only source. A file authored at the wrong pitch is resampled by the controller and the type goes soft",declared-assumption,"An LED wall has a minimum legible type size set by pixel pitch as well as by distance, and pitch is not in this table. Ask for the pitch in millimetres and treat one pixel as one pitch unit"
web-medium-rectangle,300 x 250 display unit,screen,css-px,300,250,not-applicable,12,not-applicable,css-reference-pixel,scrolling,industry-common-unsourced,"300 x 250, 728 x 90, 320 x 50, 300 x 600 and 970 x 250 are the sizes every ad server accepts and every publisher lists. This repository has not fetched a primary specification for them, so they are recorded as trade-common rather than cited",css-definitional,"A display unit is not read at a distance, it is read at whatever distance the phone is held. The CSS reference pixel already encodes that, which is why this row needs no metres - see plan_poster.py --explain-units"
web-leaderboard,728 x 90 display unit,screen,css-px,728,90,not-applicable,10,not-applicable,css-reference-pixel,scrolling,industry-common-unsourced,As web-medium-rectangle,css-definitional,"90 px of height is about four lines of legible body text and nothing else. The format is the constraint, and no amount of art direction adds room"
web-mobile-banner,320 x 50 mobile banner,screen,css-px,320,50,not-applicable,8,not-applicable,css-reference-pixel,scrolling,industry-common-unsourced,As web-medium-rectangle,css-definitional,"50 px carries one line at glance size. A layout with a headline, a price and a button in it has already failed and the arithmetic says so before the design does"
web-half-page,300 x 600 display unit,screen,css-px,300,600,not-applicable,14,not-applicable,css-reference-pixel,scrolling,industry-common-unsourced,As web-medium-rectangle,css-definitional,"The tallest common unit, and the one most often filled with a stacked poster. Height is not permission: the measure is still 300 px wide, so a long headline wraps to four lines"
web-billboard,970 x 250 display unit,screen,css-px,970,250,not-applicable,16,not-applicable,css-reference-pixel,scrolling,industry-common-unsourced,As web-medium-rectangle,css-definitional,"Desktop only in practice. Whether it renders at all on the placement you bought is check_channel_spec.py's question, not this table's"
