command,category,does,takes,also_uses,produces,also_satisfies,usual_next,machinery,refuses,what_it_does_not_do
localise,create,Write the other language from the brief rather than translating the finished copy,human-draft,,market-ready-copy,,schedule,rewrite-human.md; data/translation-tells.csv; scripts/rewrite_human.py,"Word-for-word translation handed over as localisation, and an address register wrong for the buyer",Check the legal wording in the target market. Regulated claims need a local check
schedule,create,Lay the work across a real calendar against the horizon the request actually stated,campaign-plan,,content-calendar,,produce,content-system.md; lifecycle-retention.md; scripts/scaffold_campaign.py; scripts/_signals.py,"Planning 90 days when the request said six weeks, and a cadence nobody in the team can sustain",Know the team's real capacity. Cross-check against vietnam-operating-reality.md
compose,direct,"Set hierarchy, grid, crop, scale, spacing, type and reading order, as numbers rather than adjectives",creative-brief,market-ready-copy; identity-system,composition-system,,colour,composition-light-color.md; data/layout-dials.csv; data/composition-grids.csv; data/frame-ratios.csv; scripts/plan_design_options.py; scripts/render_mockup.py; scripts/render_refsheet.py,Cropping a master into another ratio instead of laying it out again for that ratio,Settle taste. It settles the quantities; the remaining choice is argued on the render
colour,direct,"Build or check a palette on hue relationship, lightness separation, chroma budget and contrast",composition-system,,palette-decision,,identify,colour-combination.md; data/palettes.csv; data/colour-gates.csv; scripts/plan_palette.py,"A wheel scheme presented as a result, and the 85-percent and 80-percent colour statistics","Know whether the category already owns the colour, or who has registered it"
identify,direct,"Build the mark, wordmark, favicon ladder, banner masters and type scale, checked at the smallest slot",positioning-platform,,identity-system,,produce,identity-design.md; data/mark-scale-ladder.csv; scripts/plan_identity.py,"A mark whose thinnest stroke disappears at 16 pixels, and a logotype exemption claimed for a link","Clear the trademark. Availability is a search and a lawyer, not arithmetic"
stage,direct,"Build the scene: surface, backdrop, props, light direction and size, depth, and how the product is held",composition-system,,scene-plan,,shoot,composition-light-color.md; realistic-studio-imagery.md; data/image-recipes.csv; scripts/render_refsheet.py --sheet lighting,A light description that contradicts the shadow it would cast,Source the props. A scene plan is buildable only if someone checks what is on hand
shoot,direct,"Direct real product and lifestyle photography: shot list, light values, crops per channel, continuity",scene-plan,,photography-direction,,produce,realistic-studio-imagery.md; product-imagery.md; human-imagery.md; makeup-art-direction.md; scripts/read_makeup.py,"A shot list with no copy-safe area, on work that will carry copy",Take the photograph. It hands a photographer something they can execute without asking
generate,direct,"Turn a brief plus references into provider-ready prompts, then into real images, with locks enforced",scene-plan,palette-decision; identity-system,image-set,source-photograph,approve,prompt-contracts.md; reference-first-image-flow.md; reference-reading.md; api-image-orchestration.md; provider-compilers.md; scripts/compile_prompt.py; scripts/generate_image.py; data/reference-observations.csv,"Imitating a named living artist, a specific photograph or a distinctive campaign device",Render legible text on a product. Ask for an unbranded surface and add type in layout
expand,direct,Turn one usable product photograph into a full marketplace and social set without a reshoot,source-photograph; composition-system,scene-plan; palette-decision,composition-set,,adapt,product-composition-set.md; data/product-compositions.csv; scripts/plan_composition_set.py; image-editing.md; scripts/compile_prompt.py; scripts/generate_image.py --mode edit,"A variant that changed the label, the closure, the quantity or the proportion of the product","Fix a source photo with no usable detail. Below a floor of source quality, reshoot"
produce,activate,"Build the masters and the manifest: real files, named, versioned, with owners and approval state",creative-brief; market-ready-copy; composition-system,identity-system; palette-decision; photography-direction; composition-set; content-calendar,master-assets,,adapt,production-pipeline.md; assets/registries/asset-formats.json; scripts/build_asset_manifest.py; scripts/render_social_post.py; scripts/run_status.py,A blind Cartesian product of every format crossed with every message,Claim a render happened. _meta/render-capability.json stays not-rendered until files exist
adapt,activate,"Recompose each master for its placement, leaving the bands the app draws its own interface over empty",master-assets; campaign-plan,composition-set,channel-matrix,,approve,channel-spec-registry.md; data/frame-ratios.csv; scripts/render_social_post.py; scripts/render_refsheet.py --sheet frames,"Resizing in place of recomposing, and a spec quoted from memory rather than the live source",Know today's spec. Platform dimensions change; verify against the official page
approve,activate,"Gate the work on product truth, claims, rights, disclosure, accessibility, craft and continuity",channel-matrix,image-set; composition-set; creative-brief,release-pack,,launch,anti-ai-quality.md; creative-evaluation.md; claims-proof-ledger.md; rights-and-claims.md; data/slop-tells.csv; scripts/score_creative.py,"Passing a claim with no evidence row, and passing a person's likeness with no consent record",Substitute for legal review on a regulated category
launch,activate,"Close the operational questions: what runs where, under whose name, tracked how, decided when",release-pack; campaign-plan,budget-allocation; content-calendar,campaign-record,,measure,production-pipeline.md; kpi-scorecards.md; scripts/run_status.py --strict,"Publishing, buying media, contacting anyone or changing a live campaign without explicit authorisation",Push the button. The skill prepares the launch; a person launches it
measure,evaluate,"Report what happened against what was intended, with the achievement arithmetic done by branch",campaign-record,campaign-plan; budget-allocation,performance-report,,diagnose,kpi-scorecards.md; data/kpi-metrics.csv; data/kpi-aspect-weights.csv; scripts/score_kpi.py; scripts/analyze_performance.py,"A total printed from a card with a missing actual, and a channel metric offered as commercial value","Attribute. Correlated timing is not causation, and last-click is not attribution"
diagnose,evaluate,"Separate proposition, audience, creative, channel, landing, offer, timing and measurement failure",performance-report,channel-matrix; creative-brief; audience-findings,diagnosis,,improve,creative-evaluation.md; data/slop-tells.csv; scripts/analyze_performance.py; scripts/evaluate_workbench.py,Naming the creative as the cause because it is the easiest thing to change,Prove the cause from one campaign. It ranks candidates and names the test that would settle it
improve,evaluate,"Turn the diagnosis into ranked changes, held controls, one-variable tests and an explicit stop decision",diagnosis,,revision-brief,,plan,creative-evaluation.md; scripts/evaluate_workbench.py; scripts/score_creative.py,Changing three variables at once and then claiming to know which one worked,Rescue a weak proposition with creative iteration. Some diagnoses route back to position
